filename,bib_key,year,include_in_section
Strielkowski et al. 2025 AI-driven adaptive learning.pdf,strielkowski_span_2025,2025,yes (framing Era 0)
Gligorea et al. 2023 Adaptive Learning AI e-Learning.pdf,gligorea_adaptive_2023,2023,yes (framing Era 0)
Zerkouk et al. 2025 Comprehensive Review ITS.pdf,zerkouk_comprehensive_2025,2025,yes (framing Era 0-1)
Azoulay et al. 2021 Adaptive task selection.pdf,azoulay_adaptive_2021,2021,yes (priority Era 3)
Pérez et al. 2024 Emotions implicit feedback RL.pdf,perez_emotions_2024,2024,yes (priority Era 6)
Fu 2025 RL-DKT.pdf,fu_integrating_2025,2025,yes (priority Era 5)
Kuling Zitnik 2025 KUL-Rec.pdf,kuling_ken_2025,2025,yes (priority Era 5)
Sayed et al. 2023 AI-based adaptive platform.pdf,sayed_ai-based_2023,2023,yes (priority Era 4)
Deshmukh Sen 2025 RL Personalized Feedback.pdf,deshmukh_developing_2025,2025,yes (Era 5)
Guzman Cruz-Mercado 2025 RL-Tutor PPO.pdf,guzman_developing_2025,2025,yes (Era 5)
Weitekamp et al. 2025 TutorGym.pdf,weitekamp_tutorgym_2025,2025,yes (priority Era 7)
Meng Yang 2025 Self-Evolving GenAI Tutors.pdf,meng_self-evolving_2025,2025,yes (Era 7)
Gutierrez et al. 2025 conversational AI assistants.pdf,gutierrez_development_2025,2025,yes (Era 7)
Govea et al. 2024 DRL emotion personalization.pdf,govea_implementation_2024,2024,yes (Era 6 foreshadow)
Kong et al. 2025 real-time cognitive emotional tracking.pdf,kong_real-time_2025,2025,yes (priority Era 6 multi-intervention)
Gong 2025 multimodal emotion RL.pdf,gong_design_2025,2025,yes (priority Era 6 multi-intervention)
Axak et al. PPO adaptive learning control.pdf,axak_adaptive_nodate,2025,optional (PPO comparator)
Pardos et al. 2014 Affective States State Tests.pdf,Pardos2014AffectiveStatesStateTests,2014,yes (brief Era 2)
Fernández-Herrero 2024 scoping review ATS.pdf,fernandez-herrero_evaluating_2024,2024,yes (gap bridge)
Urbaite 2026 Adaptive AI-Driven Learning Systems.pdf,urbaite_adaptive_2026,2026,optional (Era 7 simulation)
Nandimandalam 2025 AI-Powered Learning Ecosystem.pdf,nandimandalam_ai-powered_2025,2025,no (overlap Emotion-Aware)
Islam et al. 2021 PAKES.pdf,MISSING BIB: islam_pakes_2021,2021,no (add bib before cite)
Zini et al. 2022 Adaptive Cognitive Training RL.pdf,MISSING BIB: zini_adaptive_2022,2022,no (add bib before cite)
Che et al. 2025 multimodal feedback RL.pdf,MISSING BIB: che_multimodal_feedback_2025,2025,no (add bib before cite)
Wang et al. 2024 DEKT emotional KT.pdf,MISSING BIB: wang_dekt_2024,2024,no (add bib before cite)
Pardos et al. 2023 OATutor.pdf,MISSING BIB: pardos_oatutor_2023,2023,no (add bib before cite)
Deng et al. 2025 Goal-oriented ITS.pdf,MISSING BIB: deng_gits_2025,2025,no (add bib before cite)
Shukla et al. 2026 GuideAI.pdf,MISSING BIB: shukla_guideai_2026,2026,no (add bib before cite)
López-Goyez et al. 2026 multi-agent RL GenAI.pdf,MISSING BIB: lopez-goyez_elatutor_2026,2026,no (add bib before cite)
Liu et al. 2024 personality-aware simulation.pdf,MISSING BIB: liu_personality-aware_2024,2024,no (add bib before cite)
