config_id,seed,train_timesteps,eval_episodes,elapsed_seconds,learning_rate,batch_size,buffer_size,target_update_interval,exploration_fraction,exploration_final_eps,mean_episode_reward,success_rate,learning_gain,final_knowledge,adaptation_accuracy,mean_delta_k_per_step,p_correct,mean_engagement,mean_frustration,comfort_action_fraction,challenge_action_fraction,action_diversity_shannon,dominance_detected,action_frequencies,dominant_actions,is_baseline,z_mean_episode_reward,z_success_rate,z_learning_gain,z_final_knowledge,z_adaptation_accuracy,balanced_score,rank_by_reward,rank_by_mastery,rank_balanced
467106ecc1c7,42,50000,1000,31.5,0.0003,64,100000,1000,0.2,0.05,2.904102670404723,0.493,0.6685757549605832,0.7703096980725149,0.9964195104471396,0.0096487498874582,0.2592417256710028,0.574187521126109,0.2466283582450409,0.0024082002305285,0.996665568911576,0.7161199560830906,False,"{'hint': 0.0011, 'scaffold': 0.4402, 'encouragement': 0.0, 'simplify_problem': 0.0, 'harder_problem': 0.5554, 'break': 0.0, 'explanation': 0.0009, 'no_action': 0.0024}",[],False,-1.4399274776483277,2.7227060961323715,2.2923435833528725,2.3333082896934023,2.7653929290809334,1.7347646841222506,2113,2113,1
3d833752cc9e,42,50000,1000,30.6,0.0003,64,50000,1000,0.2,0.05,2.904102670404723,0.493,0.6685757549605832,0.7703096980725149,0.9964195104471396,0.0096487498874582,0.2592417256710028,0.574187521126109,0.2466283582450409,0.0024082002305285,0.996665568911576,0.7161199560830906,False,"{'hint': 0.0011, 'scaffold': 0.4402, 'encouragement': 0.0, 'simplify_problem': 0.0, 'harder_problem': 0.5554, 'break': 0.0, 'explanation': 0.0009, 'no_action': 0.0024}",[],False,-1.4399274776483277,2.7227060961323715,2.2923435833528725,2.3333082896934023,2.7653929290809334,1.7347646841222506,2112,2112,2
b1a2d48ae992,42,50000,1000,30.7,0.001,64,50000,500,0.3,0.05,2.811937307142503,0.517,0.6779232670161989,0.7760542086820301,0.9999,0.0097744325116235,0.2531773333058685,0.5743871556233848,0.2503106379715942,0.0,1.0,0.6313945577965464,False,"{'hint': 0.0, 'scaffold': 0.3261, 'encouragement': 0.0, 'simplify_problem': 0.0, 'harder_problem': 0.6739, 'break': 0.0, 'explanation': 0.0, 'no_action': 0.0}",[],False,-1.8051931930493599,2.907402998268477,2.3740488918177176,2.406329817627743,2.784080730953276,1.7333338491235708,2191,2191,3
4c0cc82b2166,42,50000,1000,31.0,0.001,64,100000,500,0.3,0.05,2.811937307142503,0.517,0.6779232670161989,0.7760542086820301,0.9999,0.0097744325116235,0.2531773333058685,0.5743871556233848,0.2503106379715942,0.0,1.0,0.6313945577965464,False,"{'hint': 0.0, 'scaffold': 0.3261, 'encouragement': 0.0, 'simplify_problem': 0.0, 'harder_problem': 0.6739, 'break': 0.0, 'explanation': 0.0, 'no_action': 0.0}",[],False,-1.8051931930493599,2.907402998268477,2.3740488918177176,2.406329817627743,2.784080730953276,1.7333338491235708,2192,2192,4
501d9476d887,42,50000,1000,30.5,0.0005,32,50000,500,0.3,0.01,2.8739048792448494,0.507,0.6739268511183754,0.7728716476388513,0.9821895823130332,0.0097014822595629,0.2533755969043306,0.5736829439653389,0.2458006200573103,0.0004322410670179,0.999567758932982,0.7195833886702058,False,"{'hint': 0.0156, 'scaffold': 0.3416, 'encouragement': 0.0, 'simplify_problem': 0.0, 'harder_problem': 0.6423, 'break': 0.0004, 'explanation': 0.0, 'no_action': 0.0}",[],False,-1.5596060358520212,2.8304459557117667,2.3391167738656136,2.365874592472046,2.6889881378614606,1.7329638848117732,2140,2140,5
4aec99c1f98f,42,50000,1000,30.3,0.0005,32,100000,500,0.3,0.01,2.8739048792448494,0.507,0.6739268511183754,0.7728716476388513,0.9821895823130332,0.0097014822595629,0.2533755969043306,0.5736829439653389,0.2458006200573103,0.0004322410670179,0.999567758932982,0.7195833886702058,False,"{'hint': 0.0156, 'scaffold': 0.3416, 'encouragement': 0.0, 'simplify_problem': 0.0, 'harder_problem': 0.6423, 'break': 0.0004, 'explanation': 0.0, 'no_action': 0.0}",[],False,-1.5596060358520212,2.8304459557117667,2.3391167738656136,2.365874592472046,2.6889881378614606,1.7329638848117732,2139,2139,6
a6f4926a6841,42,50000,1000,30.8,0.0003,64,50000,500,0.3,0.1,2.874150550317499,0.51,0.6732243022769995,0.7723625311656483,0.9782638111434566,0.0096910031620575,0.253581425983863,0.5735445654234247,0.2459124638608985,0.0013790548328667,0.9985591964432734,0.7380415200327266,False,"{'hint': 0.0194, 'scaffold': 0.337, 'encouragement': 0.001, 'simplify_problem': 0.0, 'harder_problem': 0.6421, 'break': 0.0, 'explanation': 0.0, 'no_action': 0.0003}",[],False,-1.5586324030584373,2.8535330684787796,2.332975891729842,2.3594029423530185,2.6679094842126054,1.7310377967431616,2138,2138,7
d7ee9eca2cdf,42,50000,1000,30.8,0.0003,64,100000,500,0.3,0.1,2.874150550317499,0.51,0.6732243022769995,0.7723625311656483,0.9782638111434566,0.0096910031620575,0.253581425983863,0.5735445654234247,0.2459124638608985,0.0013790548328667,0.9985591964432734,0.7380415200327266,False,"{'hint': 0.0194, 'scaffold': 0.337, 'encouragement': 0.001, 'simplify_problem': 0.0, 'harder_problem': 0.6421, 'break': 0.0, 'explanation': 0.0, 'no_action': 0.0003}",[],False,-1.5586324030584373,2.8535330684787796,2.332975891729842,2.3594029423530185,2.6679094842126054,1.7310377967431616,2137,2137,8
a9e16352faba,42,50000,1000,31.5,0.0001,64,50000,500,0.2,0.01,2.8889360727535394,0.5,0.6680853485836894,0.769853515369372,0.9930431662210208,0.0096393603208696,0.2583772435369669,0.5744329381244461,0.2468117314184068,0.0055162193314671,0.9944837806685328,0.7156214634102208,False,"{'hint': 0.0, 'scaffold': 0.4311, 'encouragement': 0.0054, 'simplify_problem': 0.0, 'harder_problem': 0.5634, 'break': 0.0, 'explanation': 0.0, 'no_action': 0.0001}",[],False,-1.5000350706222492,2.776576025922069,2.2880570091223356,2.32750950886331,2.7472643149902285,1.7278743576551387,2126,2126,9
2b5e4fcd54ac,42,50000,1000,31.4,0.0001,64,100000,500,0.2,0.01,2.8889360727535394,0.5,0.6680853485836894,0.769853515369372,0.9930431662210208,0.0096393603208696,0.2583772435369669,0.5744329381244461,0.2468117314184068,0.0055162193314671,0.9944837806685328,0.7156214634102208,False,"{'hint': 0.0, 'scaffold': 0.4311, 'encouragement': 0.0054, 'simplify_problem': 0.0, 'harder_problem': 0.5634, 'break': 0.0, 'explanation': 0.0, 'no_action': 0.0001}",[],False,-1.5000350706222492,2.776576025922069,2.2880570091223356,2.32750950886331,2.7472643149902285,1.7278743576551387,2127,2127,10
