config_id,seed,train_timesteps,eval_episodes,elapsed_seconds,learning_rate,batch_size,buffer_size,target_update_interval,exploration_fraction,exploration_final_eps,mean_episode_reward,success_rate,learning_gain,final_knowledge,adaptation_accuracy,mean_delta_k_per_step,p_correct,mean_engagement,mean_frustration,comfort_action_fraction,challenge_action_fraction,action_diversity_shannon,dominance_detected,action_frequencies,dominant_actions,is_baseline
2979054e96e8,42,50000,1000,39.2,0.0001,32,10000,500,0.2,0.05,3.062710122681956,0.01,0.24072746963254976,0.47493654384633505,0.24137999999999998,0.0034680342061218484,0.6722,0.5680130097263211,0.17326048679915693,0.41568,0.2626,1.7434015614279064,False,"{'hint': 0.0212, 'scaffold': 0.1754, 'encouragement': 0.2553, 'simplify_problem': 0.2505, 'harder_problem': 0.066, 'break': 0.0, 'explanation': 0.0712, 'no_action': 0.1604}",[],False
04ea83ae7c7c,42,50000,1000,39.4,0.0001,32,10000,500,0.3,0.05,2.9538589349994444,0.024,0.3055561673709695,0.5192882701603075,0.06016695652173914,0.004357072985974849,0.47555875702823297,0.5505788352947567,0.22014737009019356,0.15142965764251556,0.5593172859515377,1.2741909783115213,False,"{'hint': 0.4991, 'scaffold': 0.0559, 'encouragement': 0.1514, 'simplify_problem': 0.0308, 'harder_problem': 0.0043, 'break': 0.0, 'explanation': 0.2584, 'no_action': 0.0}",[],False
dc4c0766a8b4,42,50000,1000,39.6,0.0001,32,10000,500,0.1,0.01,3.38473430974846,0.09,0.4020756907694224,0.5837754685493391,0.5210973100931721,0.005652273701467868,0.6267873593142949,0.5589631039549727,0.18325275670210545,0.10501862458445148,0.5248127528337405,1.3420616257631992,False,"{'hint': 0.0037, 'scaffold': 0.4857, 'encouragement': 0.0035, 'simplify_problem': 0.1189, 'harder_problem': 0.0354, 'break': 0.1015, 'explanation': 0.2513, 'no_action': 0.0}",[],False
6c04a31ff071,42,50000,1000,39.6,0.0001,32,10000,500,0.1,0.1,3.1215780027300375,0.013,0.24006493759130143,0.4724169534952094,0.31478,0.003417642399099336,0.66532,0.566526213774913,0.16349333569532928,0.45564,0.31484,1.504950850414891,False,"{'hint': 0.0, 'scaffold': 0.2725, 'encouragement': 0.211, 'simplify_problem': 0.2286, 'harder_problem': 0.0424, 'break': 0.2447, 'explanation': 0.001, 'no_action': 0.0}",[],False
0ed7f9656911,42,50000,1000,39.5,0.0001,32,10000,500,0.2,0.1,3.1511463733832734,0.086,0.39728420067321657,0.5807057580638734,0.5660433634923603,0.005590798344287075,0.6433492209716826,0.5617559547811231,0.18565890175047675,0.09312292225737974,0.5659871029759282,1.4164932919040016,False,"{'hint': 0.0, 'scaffold': 0.3288, 'encouragement': 0.0002, 'simplify_problem': 0.3261, 'harder_problem': 0.2372, 'break': 0.062, 'explanation': 0.0148, 'no_action': 0.0309}",[],False
c2c9aa278d26,42,50000,1000,39.5,0.0001,32,10000,500,0.3,0.01,3.5704599426092125,0.097,0.42257868390067427,0.599076636232254,0.4462503858319601,0.0059589402125292705,0.5006208443483137,0.5722489206853044,0.19089117725273944,0.2291516462388849,0.4625690939677962,1.3174143154417939,False,"{'hint': 0.0162, 'scaffold': 0.4293, 'encouragement': 0.2291, 'simplify_problem': 0.0393, 'harder_problem': 0.017, 'break': 0.0, 'explanation': 0.269, 'no_action': 0.0}",[],False
641c42be7869,42,50000,1000,39.7,0.0001,32,10000,500,0.1,0.05,3.3886482359750385,0.226,0.507468348556247,0.6551254042441368,0.4920559835824033,0.007095937601924429,0.3307244631747943,0.5554537133062254,0.18911041087414943,0.2579169175195665,0.4922937989163155,1.396133261725635,False,"{'hint': 0.0, 'scaffold': 0.3606, 'encouragement': 0.018, 'simplify_problem': 0.0, 'harder_problem': 0.1316, 'break': 0.24, 'explanation': 0.2498, 'no_action': 0.0}",[],False
c6cfabe82851,42,50000,1000,39.9,0.0001,32,10000,500,0.2,0.01,3.0017486643399214,0.023,0.30356708886737693,0.5181832181909606,0.05774272727272728,0.004333487711539745,0.4255910709285114,0.5533099343158117,0.2185359444237411,0.2067648117774133,0.5572468696243549,1.241518321667047,False,"{'hint': 0.4995, 'scaffold': 0.057, 'encouragement': 0.1968, 'simplify_problem': 0.0038, 'harder_problem': 0.0007, 'break': 0.0, 'explanation': 0.2321, 'no_action': 0.01}",[],False
67e09f866fac,42,50000,1000,33.3,0.0001,32,10000,500,0.5,0.05,3.2991864395383192,0.071,0.3707770370819285,0.5632470646664656,0.331466911404794,0.005240323397665753,0.5906451483721117,0.5506403058736353,0.17475805364840338,0.21591045612910978,0.34401906211205,1.5114464223215562,False,"{'hint': 0.0125, 'scaffold': 0.2848, 'encouragement': 0.0, 'simplify_problem': 0.126, 'harder_problem': 0.0468, 'break': 0.2159, 'explanation': 0.314, 'no_action': 0.0}",[],False
f24002a946f0,42,50000,1000,33.8,0.0001,32,10000,500,0.3,0.1,3.4374511284110523,0.067,0.35850948105430486,0.5536514529322674,0.38039714643518446,0.005048895952578846,0.5552418143586663,0.5730951991621444,0.18131113066250054,0.3107840192249925,0.3966957044157404,1.69101731467243,False,"{'hint': 0.0164, 'scaffold': 0.3238, 'encouragement': 0.2485, 'simplify_problem': 0.1073, 'harder_problem': 0.0565, 'break': 0.0535, 'explanation': 0.1853, 'no_action': 0.0088}",[],False
