config_id,label,seed,train_timesteps,use_checkpoints,selection,val_learning_gain,elapsed_seconds,learning_rate,batch_size,buffer_size,target_update_interval,exploration_fraction,exploration_final_eps,net_arch,learning_gain,final_knowledge,success_rate,adaptation_accuracy,mean_episode_reward
ccb35a8acb,no_checkpoint,42,50000,False,final@50000,,21.9,0.001,64,100000,500,0.3,0.05,"[64, 64]",0.6775224350504926,0.7786254047271173,0.506,0.9999600000000001,2.801220026017503
8542c4a946,checkpoint_sel,42,50000,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/stability_checkpoint_sel_8542c4a946_s42/dqn_10000_steps.zip,0.646972620644052,24.8,0.001,64,100000,500,0.3,0.05,"[64, 64]",0.6740208324077973,0.7761890831010557,0.502,0.9902326720455623,2.8074810181969374
ccb35a8acb,no_checkpoint,0,50000,False,final@50000,,22.2,0.001,64,100000,500,0.3,0.05,"[64, 64]",0.6984977009848679,0.7934199339148683,0.596,0.9922570266979519,2.584807245627441
8542c4a946,checkpoint_sel,0,50000,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/stability_checkpoint_sel_8542c4a946_s0/dqn_40000_steps.zip,0.6785554818244068,24.8,0.001,64,100000,500,0.3,0.05,"[64, 64]",0.697782102007648,0.792595042217766,0.594,0.972909937308749,2.509610180892646
ccb35a8acb,no_checkpoint,1,50000,False,final@50000,,21.7,0.001,64,100000,500,0.3,0.05,"[64, 64]",0.4439876576042235,0.6135440268283314,0.18,0.44968379270675907,3.335331350801121
8542c4a946,checkpoint_sel,1,50000,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/stability_checkpoint_sel_8542c4a946_s1/dqn_20000_steps.zip,0.4563020500898147,24.8,0.001,64,100000,500,0.3,0.05,"[64, 64]",0.45321070921018974,0.6245813891012003,0.116,0.48916870326791934,3.6335788196238235
ccb35a8acb,no_checkpoint,7,50000,False,final@50000,,21.8,0.001,64,100000,500,0.3,0.05,"[64, 64]",0.6490587519279668,0.758631661409325,0.478,0.857272601100045,2.794889721455137
8542c4a946,checkpoint_sel,7,50000,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/stability_checkpoint_sel_8542c4a946_s7/dqn_50000_steps.zip,0.6028853696183304,25.6,0.001,64,100000,500,0.3,0.05,"[64, 64]",0.6053957572935577,0.7292099121435458,0.414,0.7187360671616198,2.767943686181905
ccb35a8acb,no_checkpoint,13,50000,False,final@50000,,21.8,0.001,64,100000,500,0.3,0.05,"[64, 64]",0.37208464173012873,0.5699629936128512,0.058,0.38028054421768714,3.091818071301221
8542c4a946,checkpoint_sel,13,50000,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/stability_checkpoint_sel_8542c4a946_s13/dqn_10000_steps.zip,0.6762058249047587,25.3,0.001,64,100000,500,0.3,0.05,"[64, 64]",0.6691967087827679,0.7722847818423765,0.512,0.9425411916223052,2.870543512000015
ccb35a8acb,no_checkpoint,21,50000,False,final@50000,,21.6,0.001,64,100000,500,0.3,0.05,"[64, 64]",0.3976233123035837,0.5847601413016522,0.07,0.5301257142857142,3.0464837100693827
8542c4a946,checkpoint_sel,21,50000,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/stability_checkpoint_sel_8542c4a946_s21/dqn_30000_steps.zip,0.6209102188280472,24.9,0.001,64,100000,500,0.3,0.05,"[64, 64]",0.6485673462291409,0.7583249437738356,0.452,0.7450917104822503,3.066660535169607
ccb35a8acb,no_checkpoint,99,50000,False,final@50000,,22.2,0.001,64,100000,500,0.3,0.05,"[64, 64]",0.3786444231531331,0.5697729069334584,0.086,0.33591770608349386,3.1224972798501915
8542c4a946,checkpoint_sel,99,50000,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/stability_checkpoint_sel_8542c4a946_s99/dqn_10000_steps.zip,0.5830009523108566,25.0,0.001,64,100000,500,0.3,0.05,"[64, 64]",0.5883831143665202,0.7162702018791743,0.324,0.6480203514586376,3.169127820159528
ccb35a8acb,no_checkpoint,100,50000,False,final@50000,,21.6,0.001,64,100000,500,0.3,0.05,"[64, 64]",0.6493635082961552,0.7586229133367586,0.45,0.7757530928836679,3.177246492176595
