label,n_seeds,learning_gain_mean,learning_gain_std,learning_gain_cv,learning_gain_ci,success_rate_mean,adaptation_mean,reward_mean
target_upd_2000,10,0.4165,0.116,0.2786,"[0.345, 0.488]",0.156,0.4378,3.3449
target_upd_1000,10,0.4061,0.1386,0.3412,"[0.320, 0.492]",0.149,0.4515,3.1484
expl_frac_0.5,10,0.4936,0.15,0.304,"[0.401, 0.587]",0.2556,0.5218,2.9921
final_eps_0.01,10,0.3949,0.1628,0.4123,"[0.294, 0.496]",0.1678,0.3781,2.917
final_eps_0.02,10,0.4157,0.1734,0.4171,"[0.308, 0.523]",0.167,0.3859,2.7527
expl_frac_0.7,10,0.3954,0.192,0.4856,"[0.276, 0.514]",0.17,0.3965,2.9081
baseline,10,0.4652,0.1949,0.4189,"[0.344, 0.586]",0.2454,0.5609,2.9733
expl_frac_0.3,10,0.4652,0.1949,0.4189,"[0.344, 0.586]",0.2454,0.5609,2.9733
final_eps_0.05,10,0.4652,0.1949,0.4189,"[0.344, 0.586]",0.2454,0.5609,2.9733
net_arch_64-64,10,0.4652,0.1949,0.4189,"[0.344, 0.586]",0.2454,0.5609,2.9733
target_upd_500,10,0.4652,0.1949,0.4189,"[0.344, 0.586]",0.2454,0.5609,2.9733
net_arch_128-128-128,10,0.4458,0.2078,0.4661,"[0.317, 0.575]",0.2408,0.5129,2.9772
