ppo_action,dqn_action,count
encouragement,scaffold,692
scaffold,scaffold,359
no_action,scaffold,340
simplify_problem,scaffold,227
encouragement,explanation,114
no_action,explanation,54
hint,scaffold,46
simplify_problem,explanation,36
harder_problem,scaffold,28
encouragement,encouragement,27
break,scaffold,21
harder_problem,harder_problem,17
no_action,harder_problem,13
harder_problem,explanation,8
break,explanation,6
no_action,encouragement,5
explanation,explanation,2
simplify_problem,encouragement,2
hint,explanation,2
encouragement,harder_problem,1
