knowledge,engagement,frustration,confusion,boredom,difficulty,mismatch,ppo_action,dqn_action
0.2613,0.3931,0.1888,0.5517,0.1159,1.0,0.7387,simplify_problem,scaffold
0.266,0.3454,0.4269,0.4383,0.0764,0.983,0.717,simplify_problem,scaffold
0.2883,0.3464,0.4565,0.567,0.0965,1.0,0.7117,simplify_problem,scaffold
0.7357,0.465,0.12,0.1989,0.2496,0.0262,-0.7096,harder_problem,scaffold
0.2763,0.4749,0.3832,0.2669,0.0775,0.983,0.7067,simplify_problem,scaffold
0.2782,0.3928,0.377,0.2867,0.0287,0.983,0.7048,simplify_problem,scaffold
0.2981,0.376,0.3163,0.4398,0.0753,1.0,0.7019,simplify_problem,scaffold
0.3031,0.3453,0.2423,0.5561,0.1172,1.0,0.6969,simplify_problem,scaffold
0.309,0.2963,0.1904,0.5923,0.0998,1.0,0.691,simplify_problem,scaffold
0.2996,0.5308,0.3616,0.4266,0.0474,0.983,0.6835,simplify_problem,scaffold
0.3223,0.3235,0.4625,0.3137,0.0239,1.0,0.6777,simplify_problem,scaffold
0.3243,0.4995,0.1656,0.4545,0.1444,1.0,0.6757,simplify_problem,scaffold
0.2357,0.494,0.2121,0.1334,0.0898,0.9,0.6643,simplify_problem,explanation
0.3404,0.4511,0.2471,0.5139,0.0751,1.0,0.6596,hint,scaffold
0.341,0.4501,0.2717,0.4907,0.0862,1.0,0.659,simplify_problem,scaffold
0.2312,0.5612,0.3467,0.4162,0.1163,0.883,0.6518,simplify_problem,scaffold
0.3485,0.3655,0.2318,0.5105,0.0409,1.0,0.6515,simplify_problem,scaffold
0.2311,0.5083,0.2368,0.518,0.1126,0.8731,0.642,simplify_problem,scaffold
0.25,0.506,0.2806,0.2361,0.065,0.883,0.633,simplify_problem,explanation
0.3715,0.4601,0.3244,0.5334,0.0965,1.0,0.6285,hint,scaffold
