condition,condition_label,masked_dims,algorithm,seed,gain_ratio,train_timesteps,eval_episodes,elapsed_seconds,learning_gain,final_knowledge,success_rate,adaptation_accuracy,emotional_wellbeing,mean_episode_reward,dropout_rate,dominance_detected
full_emotion,Full Emotion (A),[],Random,42,10:1,0,500,1.6,0.3752559377670665,0.5695922599526785,0.076,0.2891724581724582,0.36679859417510435,2.673860087078096,0.0,False
full_emotion,Full Emotion (A),[],Random,7,10:1,0,500,1.6,0.3744752337246847,0.5710618183090473,0.078,0.28342381642512077,0.36986312822659734,2.697283324468967,0.0,False
full_emotion,Full Emotion (A),[],Random,13,10:1,0,500,1.6,0.38344117366479374,0.5773781059116924,0.084,0.28979625692137323,0.36758097419180513,2.6801504523259,0.0,False
full_emotion,Full Emotion (A),[],Random,21,10:1,0,500,1.6,0.397237534284023,0.584219653316005,0.1,0.28534820910182257,0.3736890892691813,2.777413025615143,0.0,False
full_emotion,Full Emotion (A),[],Random,99,10:1,0,500,1.6,0.3788912178067427,0.5709427227900573,0.08,0.2885082824128476,0.3725212684158489,2.7248728332823373,0.0,False
full_emotion,Full Emotion (A),[],Random,314,10:1,0,500,1.7,0.38586605228978543,0.5756714101154016,0.072,0.29156,0.3671488443147474,2.6759630881958856,0.0,False
full_emotion,Full Emotion (A),[],ERT,42,10:1,0,500,1.6,0.41554207647609165,0.5965982067849376,0.124,0.380609493400714,0.397607877654392,3.087159281982329,0.0,False
full_emotion,Full Emotion (A),[],ERT,7,10:1,0,500,1.6,0.4048933252196081,0.5916328739759257,0.112,0.37269854910622896,0.4031859774488863,3.1366213029895773,0.0,False
full_emotion,Full Emotion (A),[],ERT,13,10:1,0,500,1.5,0.4096558035496646,0.5946173338949018,0.11,0.37329552245473463,0.4013461137011683,3.120536914776949,0.0,False
full_emotion,Full Emotion (A),[],ERT,21,10:1,0,500,1.5,0.42987815412714053,0.6065920362741938,0.124,0.37191199205401027,0.4028431062758138,3.146518431831813,0.0,False
full_emotion,Full Emotion (A),[],ERT,99,10:1,0,500,1.5,0.3966230815339462,0.5843183451080849,0.106,0.36857925209312364,0.40419403505962004,3.132579740281283,0.0,False
full_emotion,Full Emotion (A),[],ERT,314,10:1,0,500,1.5,0.40816939475619113,0.5920623638231863,0.118,0.3722390345813404,0.40169621009402096,3.1215388569373586,0.0,False
full_emotion,Full Emotion (A),[],DQN,42,10:1,50000,500,22.9,0.6775224350504926,0.7786254047271173,0.506,0.9999600000000001,0.36374323754061033,2.801220026017503,0.0,False
full_emotion,Full Emotion (A),[],DQN,7,10:1,50000,500,22.5,0.6490587519279668,0.758631661409325,0.478,0.857272601100045,0.3627039981916448,2.794889721455137,0.0,False
full_emotion,Full Emotion (A),[],DQN,13,10:1,50000,500,21.7,0.37208464173012873,0.5699629936128512,0.058,0.38028054421768714,0.39836546356590713,3.091818071301221,0.0,False
full_emotion,Full Emotion (A),[],DQN,21,10:1,50000,500,22.0,0.3976233123035837,0.5847601413016522,0.07,0.5301257142857142,0.39703235678203946,3.0464837100693827,0.0,False
full_emotion,Full Emotion (A),[],DQN,99,10:1,50000,500,21.8,0.3786444231531331,0.5697729069334584,0.086,0.33591770608349386,0.39622118196544054,3.1224972798501915,0.0,False
full_emotion,Full Emotion (A),[],DQN,314,10:1,50000,500,21.7,0.14250603586301772,0.41229702317954786,0.0,0.16948000000000002,0.41426657177970466,3.0550049878688776,0.0,False
knowledge_only,Knowledge Only (B),"[1, 2, 3, 4, 5]",Random,42,10:1,0,500,1.6,0.3752559377670665,0.5695922599526785,0.076,0.2891724581724582,0.36679859417510435,2.673860087078096,0.0,False
knowledge_only,Knowledge Only (B),"[1, 2, 3, 4, 5]",Random,7,10:1,0,500,1.7,0.3744752337246847,0.5710618183090473,0.078,0.28342381642512077,0.36986312822659734,2.697283324468967,0.0,False
knowledge_only,Knowledge Only (B),"[1, 2, 3, 4, 5]",Random,13,10:1,0,500,1.6,0.38344117366479374,0.5773781059116924,0.084,0.28979625692137323,0.36758097419180513,2.6801504523259,0.0,False
knowledge_only,Knowledge Only (B),"[1, 2, 3, 4, 5]",Random,21,10:1,0,500,1.6,0.397237534284023,0.584219653316005,0.1,0.28534820910182257,0.3736890892691813,2.777413025615143,0.0,False
knowledge_only,Knowledge Only (B),"[1, 2, 3, 4, 5]",Random,99,10:1,0,500,1.7,0.3788912178067427,0.5709427227900573,0.08,0.2885082824128476,0.3725212684158489,2.7248728332823373,0.0,False
knowledge_only,Knowledge Only (B),"[1, 2, 3, 4, 5]",Random,314,10:1,0,500,1.6,0.38586605228978543,0.5756714101154016,0.072,0.29156,0.3671488443147474,2.6759630881958856,0.0,False
knowledge_only,Knowledge Only (B),"[1, 2, 3, 4, 5]",ERT,42,10:1,0,500,1.4,0.44063308605280654,0.6137838785521588,0.162,0.5234798376482277,0.40455182844438725,3.2049427838422857,0.0,False
knowledge_only,Knowledge Only (B),"[1, 2, 3, 4, 5]",ERT,7,10:1,0,500,1.5,0.44039468191304865,0.6155756353027383,0.142,0.5217986672493176,0.40909373653103914,3.246436371320933,0.0,False
knowledge_only,Knowledge Only (B),"[1, 2, 3, 4, 5]",ERT,13,10:1,0,500,1.4,0.4472732710068779,0.6203622177823542,0.158,0.5251524134859588,0.4076940161201822,3.2476724388814846,0.0,False
knowledge_only,Knowledge Only (B),"[1, 2, 3, 4, 5]",ERT,21,10:1,0,500,1.4,0.4616074286191872,0.6286735734496961,0.154,0.5232562976543661,0.4089687301572197,3.2621384722416362,0.0,False
knowledge_only,Knowledge Only (B),"[1, 2, 3, 4, 5]",ERT,99,10:1,0,500,1.4,0.4316563853338437,0.6086600077259547,0.144,0.5245155445637817,0.41036131064024106,3.256082523259201,0.0,False
knowledge_only,Knowledge Only (B),"[1, 2, 3, 4, 5]",ERT,314,10:1,0,500,1.5,0.44234510807723804,0.6144395935409732,0.138,0.5219195414609,0.4083126608777558,3.244169354406402,0.0,False
knowledge_only,Knowledge Only (B),"[1, 2, 3, 4, 5]",DQN,42,10:1,50000,500,21.8,0.6875139881883682,0.7857038718561484,0.542,0.4523384448295679,0.29532355554111706,1.8248535530246186,0.0,True
knowledge_only,Knowledge Only (B),"[1, 2, 3, 4, 5]",DQN,7,10:1,50000,500,21.9,0.3514477825233114,0.5559378632224089,0.054,0.26413028161802354,0.380230133383376,2.8730692877852815,0.0,False
knowledge_only,Knowledge Only (B),"[1, 2, 3, 4, 5]",DQN,13,10:1,50000,500,21.9,0.35591454293725916,0.55901334111358,0.052,0.5001012765957447,0.42914168122821544,3.5533754556629518,0.0,False
knowledge_only,Knowledge Only (B),"[1, 2, 3, 4, 5]",DQN,21,10:1,50000,500,21.7,0.2968139441877882,0.5147111660594678,0.032,0.2505583333333333,0.39223978488540095,2.9715814251105184,0.0,False
knowledge_only,Knowledge Only (B),"[1, 2, 3, 4, 5]",DQN,99,10:1,50000,500,21.9,0.2531790722906804,0.48454425293764025,0.03,0.01,0.3571530630769367,2.471451317461493,0.0,False
