seed,selected_checkpoint,validation_learning_gain,final_eval_learning_gain,selected_eval_learning_gain
0,40000,0.6776,0.3603,0.695
1,20000,0.5822,0.3125,0.5944
7,30000,0.5998,0.5416,0.6137
13,40000,0.6865,0.3253,0.6796
21,40000,0.6454,0.2817,0.6758
42,50000,0.6286,0.6588,0.6588
99,40000,0.4487,0.4204,0.4374
100,50000,0.6665,0.6741,0.6741
200,30000,0.6733,0.672,0.6738
314,20000,0.4361,0.3854,0.4104
500,40000,0.6749,0.4934,0.6819
777,30000,0.5958,0.1661,0.5815
1234,50000,0.4611,0.4913,0.4913
2024,40000,0.6457,0.24,0.6361
5555,20000,0.6953,0.3692,0.6879
8888,50000,0.5484,0.592,0.592
9999,10000,0.5125,0.2539,0.5134
10101,10000,0.6999,0.375,0.6844
20202,30000,0.5275,0.4271,0.5267
30303,20000,0.6563,0.4989,0.6704
