seed,selected_checkpoint,validation_learning_gain,final_eval_learning_gain,selected_eval_learning_gain
42,40000,0.6578,0.4111,0.6834
0,40000,0.4276,0.2968,0.4503
1,30000,0.4251,0.2543,0.4214
7,50000,0.6144,0.6212,0.6212
13,40000,0.6648,0.261,0.6573
21,30000,0.641,0.2218,0.6805
99,50000,0.6494,0.66,0.66
100,30000,0.4393,0.32,0.4348
200,40000,0.4594,0.3668,0.4598
314,40000,0.6697,0.1996,0.6466
500,50000,0.6153,0.6203,0.6203
777,30000,0.6665,0.1518,0.6483
1234,40000,0.5028,0.356,0.5249
2024,40000,0.6301,0.6023,0.62
5555,20000,0.502,0.3202,0.4982
8888,50000,0.4957,0.5387,0.5387
9999,50000,0.6117,0.6108,0.6108
10101,30000,0.7137,0.4233,0.7064
20202,40000,0.6239,0.458,0.6184
30303,20000,0.6607,0.4517,0.6749
