gain_id,ratio_label,gain_correct,gain_incorrect,algorithm,seed,train_timesteps,eval_episodes,elapsed_seconds,mean_episode_reward,success_rate,learning_gain,final_knowledge,adaptation_accuracy,mean_delta_k_per_step,p_correct,mean_engagement,mean_frustration,mean_confusion,mean_boredom,action_diversity_shannon,dominance_detected,action_frequencies,dominant_actions
G0_symmetric,1:1,1.0,1.0,PPO,42,50000,300,50.5,3.402184221395286,0.01,0.28428578282330097,0.5137793014286438,0.19933333333333333,0.004117586497366293,0.55,0.5879553382502363,0.17793372060899412,0.18437901243676472,0.15888523512362945,1.4681570595322002,False,"{'hint': 0.0, 'scaffold': 0.1792, 'encouragement': 0.2474, 'simplify_problem': 0.0685, 'harder_problem': 0.0201, 'break': 0.0395, 'explanation': 0.0147, 'no_action': 0.4307}",[]
G0_symmetric,1:1,1.0,1.0,PPO,123,50000,300,47.7,3.2767959595822274,0.0,0.09987165635003055,0.38919246463781915,0.024466666666666668,0.0015331845181569875,0.5202666666666667,0.5859476458907497,0.16178759559633155,0.20705819298313044,0.16137551707779013,1.4424983657026131,False,"{'hint': 0.0, 'scaffold': 0.0191, 'encouragement': 0.2595, 'simplify_problem': 0.0882, 'harder_problem': 0.0037, 'break': 0.2067, 'explanation': 0.0241, 'no_action': 0.3987}",[]
G0_symmetric,1:1,1.0,1.0,PPO,456,50000,300,49.8,3.6019021363194406,0.013333333333333334,0.3433289201625367,0.551195500330796,0.3186666666666667,0.004983050916588229,0.47713333333333335,0.5863088414808811,0.16241116406713094,0.17726086069726454,0.15061465320497808,1.4898152385971657,False,"{'hint': 0.0, 'scaffold': 0.3083, 'encouragement': 0.2491, 'simplify_problem': 0.0155, 'harder_problem': 0.0098, 'break': 0.2315, 'explanation': 0.0041, 'no_action': 0.1817}",[]
G0_symmetric,1:1,1.0,1.0,DQN,42,50000,300,22.6,3.8154757837390436,0.49,0.65474640590551,0.7616363096165214,0.5798745980277622,0.0093573176542832,0.4400907403588369,0.5701983855781566,0.19313324545834804,0.11413613827986373,0.14270499799724876,1.195091197042621,False,"{'hint': 0.0, 'scaffold': 0.5004, 'encouragement': 0.1778, 'simplify_problem': 0.0, 'harder_problem': 0.0767, 'break': 0.0, 'explanation': 0.2451, 'no_action': 0.0}",[]
G0_symmetric,1:1,1.0,1.0,DQN,123,50000,300,22.6,2.4866736732871946,0.04666666666666667,0.3362420957565444,0.5573742376425334,0.35973333333333335,0.00489681997825127,0.3136,0.562635329285792,0.22983789314335998,0.2586891399525755,0.12836843969655626,0.8949654155074882,False,"{'hint': 0.0, 'scaffold': 0.2367, 'encouragement': 0.0, 'simplify_problem': 0.0015, 'harder_problem': 0.1232, 'break': 0.0, 'explanation': 0.0, 'no_action': 0.6387}",[]
G0_symmetric,1:1,1.0,1.0,DQN,456,50000,300,22.7,3.5728834053658396,0.32666666666666666,0.5555858263005007,0.691160945789796,0.5075760269028506,0.007831962253372921,0.4811137202281114,0.5768905023896053,0.20858194761175652,0.13021099345246823,0.1556673025266788,1.175861722245827,False,"{'hint': 0.299, 'scaffold': 0.5003, 'encouragement': 0.0483, 'simplify_problem': 0.0, 'harder_problem': 0.0068, 'break': 0.0013, 'explanation': 0.0, 'no_action': 0.1442}",[]
G1_ratio_2_1,2:1,0.5,1.0,PPO,42,50000,300,50.1,3.599669874792953,0.10666666666666667,0.42427501411834184,0.6037455132715873,0.4803416666666667,0.005922438343345622,0.5346990524489523,0.5806426259478304,0.17677928263123804,0.15577462557720217,0.15558878788574082,1.445909620254912,False,"{'hint': 0.0068, 'scaffold': 0.4607, 'encouragement': 0.2328, 'simplify_problem': 0.0472, 'harder_problem': 0.0196, 'break': 0.0891, 'explanation': 0.0, 'no_action': 0.1437}",[]
G1_ratio_2_1,2:1,0.5,1.0,PPO,123,50000,300,50.4,3.631861567228678,0.04,0.38492060591080557,0.5790128719366678,0.4575999999999999,0.0053295926641339616,0.4404,0.5815165757930402,0.1633313703514401,0.17019317025990294,0.14543356682128142,1.255828820076476,False,"{'hint': 0.0, 'scaffold': 0.4511, 'encouragement': 0.2598, 'simplify_problem': 0.0025, 'harder_problem': 0.0065, 'break': 0.2261, 'explanation': 0.001, 'no_action': 0.0531}",[]
G1_ratio_2_1,2:1,0.5,1.0,PPO,456,50000,300,50.6,3.684455972683067,0.08333333333333333,0.40867093552387507,0.5896103058941378,0.5027333941706765,0.005761718120471914,0.45495224737861484,0.5805242839190401,0.16217324557527707,0.16313508630259155,0.14859414096414678,1.10615849551276,False,"{'hint': 0.0, 'scaffold': 0.4996, 'encouragement': 0.244, 'simplify_problem': 0.0061, 'harder_problem': 0.0029, 'break': 0.2432, 'explanation': 0.0041, 'no_action': 0.0001}",[]
G1_ratio_2_1,2:1,0.5,1.0,DQN,42,50000,300,22.7,2.980616184740442,0.03333333333333333,0.21537474225292874,0.4588843432351893,0.08781538461538461,0.0030219033959875945,0.3623990926679565,0.5580743327261743,0.18211685114403423,0.2096428135562853,0.13980096818355126,1.3598469153115094,False,"{'hint': 0.41, 'scaffold': 0.0676, 'encouragement': 0.26, 'simplify_problem': 0.0, 'harder_problem': 0.0199, 'break': 0.2329, 'explanation': 0.0, 'no_action': 0.0095}",[]
