algorithm,action_name,horizon,mean_future_knowledge_gain,n
DQN,harder_problem,5,0.04588121244623657,11775
DQN,harder_problem,10,0.09070837277182492,10311
DQN,harder_problem,20,0.17707429814850098,7405
DQN,hint,5,0.06068239091041378,1252
DQN,hint,10,0.11336771912798993,1216
DQN,hint,20,0.213190036208618,1122
PPO,break,5,0.024146434864658572,2305
PPO,break,10,0.04069303215156172,2067
PPO,break,20,0.08305879609910066,1449
PPO,encouragement,5,0.027386787416841737,3290
PPO,encouragement,10,0.04510708170823574,2983
PPO,encouragement,20,0.08589032258452751,2299
PPO,harder_problem,5,0.02101115959735646,230
PPO,harder_problem,10,0.037903418775992175,187
PPO,harder_problem,20,0.06176784411186181,97
PPO,no_action,5,0.03329369533275854,11
PPO,no_action,10,0.04808249215092368,8
PPO,no_action,20,0.11259237264742714,4
PPO,scaffold,5,0.018585570708217033,6861
PPO,scaffold,10,0.04375074436823921,5986
PPO,scaffold,20,0.08594440780049772,4490
PPO,simplify_problem,5,0.030721825356289978,796
PPO,simplify_problem,10,0.048550230123584025,762
PPO,simplify_problem,20,0.0947790430078653,654
