config_id,seed,train_timesteps,eval_episodes,elapsed_seconds,learning_rate,batch_size,n_steps,clip_range,ent_coef,n_epochs,mean_episode_reward,success_rate,learning_gain,final_knowledge,adaptation_accuracy,mean_delta_k_per_step,p_correct,mean_engagement,mean_frustration,comfort_action_fraction,challenge_action_fraction,action_diversity_shannon,dominance_detected,action_frequencies,dominant_actions,is_baseline,z_mean_episode_reward,z_success_rate,z_learning_gain,z_final_knowledge,z_adaptation_accuracy,balanced_score,rank_by_reward,rank_by_mastery,rank_balanced
48c5abe0b1fc,42,50000,1000,47.8,0.0003,128,512,0.2,0.1,3,3.347254513013886,0.417,0.6102059124701068,0.7251629570844117,0.666739041993549,0.0086340186190598,0.31266687047793745,0.5635782654702332,0.22812356740504547,0.04809945990013248,0.951737491083257,1.2628109917965462,False,"{'hint': 0.0002, 'scaffold': 0.3691, 'encouragement': 0.0343, 'simplify_problem': 0.0137, 'harder_problem': 0.2975, 'break': 0.0, 'explanation': 0.2852, 'no_action': 0.0}",[],False,-0.4031168502432027,7.464441907997335,3.552932368705767,3.5528939673940374,1.8448066204359581,3.202391602857979,1544,1544,1
2261c1f53eca,42,50000,1000,47.2,0.0005,128,512,0.2,0.05,3,3.3660253684290335,0.403,0.5811730269219445,0.7035996498969309,0.7433114098868323,0.00820389757711213,0.391642351404844,0.5710094045381889,0.21195152024096098,0.17366198045256995,0.82633801954743,1.325198507333582,False,"{'hint': 0.0, 'scaffold': 0.358, 'encouragement': 0.0182, 'simplify_problem': 0.1521, 'harder_problem': 0.382, 'break': 0.0033, 'explanation': 0.0863, 'no_action': 0.0}",[],False,-0.29383633536875287,7.164157256425951,3.176150569400873,3.1445679066326573,2.4842094283604776,3.1350497650902414,1467,1467,2
6590df7aaa48,42,50000,1000,44.6,0.0003,256,512,0.2,0.1,3,3.523957370455457,0.346,0.5627247625283387,0.6913310501582831,0.7202987549766897,0.007906296227699495,0.328708774491907,0.576408668774462,0.2078017893656369,0.1694454586020851,0.830554541397915,1.2481788655467398,False,"{'hint': 0.0, 'scaffold': 0.469, 'encouragement': 0.1694, 'simplify_problem': 0.0, 'harder_problem': 0.2487, 'break': 0.0, 'explanation': 0.1128, 'no_action': 0.0}",[],False,0.6256151288768664,5.941569746456738,2.9367334353118646,2.912247838157789,2.2920466864709996,2.941642567054852,805,805,3
32e3f9178d0e,42,50000,1000,47.1,0.001,256,512,0.1,0.1,3,3.4896843290511415,0.343,0.5453818315875201,0.6761671818756381,0.7178886833294077,0.007605203985696214,0.4623020706455542,0.5677420228813941,0.2061738088507345,0.12105156313438896,0.8789484368656111,1.3212352112297845,False,"{'hint': 0.0, 'scaffold': 0.4365, 'encouragement': 0.018, 'simplify_problem': 0.1029, 'harder_problem': 0.2788, 'break': 0.0001, 'explanation': 0.1636, 'no_action': 0.0}",[],False,0.4260836995337716,5.877223035405727,2.7116610526765883,2.625102524689746,2.2719218474335148,2.782398431947869,947,947,4
247c1130b506,42,50000,1000,47.4,0.0005,128,512,0.1,0.1,3,3.5299259762645487,0.344,0.537884764926725,0.6717277300984269,0.6735976280727038,0.007515081131916044,0.39939098660170524,0.5611835067676797,0.1948670142486426,0.15976451481932602,0.840235485180674,1.3526652460261082,False,"{'hint': 0.0, 'scaffold': 0.46, 'encouragement': 0.0, 'simplify_problem': 0.0274, 'harder_problem': 0.2105, 'break': 0.1323, 'explanation': 0.1697, 'no_action': 0.0}",[],False,0.6603632690907538,5.898671939089397,2.61436592638688,2.541036391402864,1.9020779223175377,2.7233030896574864,778,778,5
b3c7ccc9297e,42,50000,1000,45.7,0.0003,256,512,0.1,0.1,3,3.3708754751780736,0.341,0.5339073943374394,0.6677589304909614,0.7504554010785741,0.007434512727379592,0.38710921640276086,0.5722606988640339,0.19654519773602908,0.25034510759236706,0.749654892407633,1.356559206988268,False,"{'hint': 0.0, 'scaffold': 0.4298, 'encouragement': 0.0807, 'simplify_problem': 0.0653, 'harder_problem': 0.3179, 'break': 0.1043, 'explanation': 0.0019, 'no_action': 0.0}",[],False,-0.26559989376772547,5.834325228038386,2.562748568386161,2.4658825991029247,2.543863950657005,2.62824409048335,1451,1451,6
21673dce3dda,42,50000,1000,46.4,0.0005,256,512,0.1,0.1,3,3.521122487520019,0.33,0.5139559171965569,0.6526841707895326,0.7026550035503795,0.007128488372904792,0.4642306130734876,0.5739075800423996,0.2005246243149342,0.194884287454324,0.805115712545676,1.3929221259236422,False,"{'hint': 0.0, 'scaffold': 0.4535, 'encouragement': 0.1107, 'simplify_problem': 0.0841, 'harder_problem': 0.2461, 'break': 0.0, 'explanation': 0.1055, 'no_action': 0.0}",[],False,0.6091109547227429,5.598387287518012,2.3038231011444794,2.1804246592660093,2.1447159389090635,2.5672923883120613,815,815,7
35c75de1654c,42,50000,1000,47.9,0.001,256,512,0.3,0.1,3,3.4041839095007917,0.332,0.5305516996012425,0.6662634375604309,0.7121079083667881,0.007392448093157167,0.4634764279054684,0.5720151645886644,0.2083029908515297,0.19660302403826665,0.7097166484251489,1.2795079281617723,False,"{'hint': 0.0919, 'scaffold': 0.4012, 'encouragement': 0.0, 'simplify_problem': 0.1966, 'harder_problem': 0.3085, 'break': 0.0, 'explanation': 0.0, 'no_action': 0.0017}",[],False,-0.07168423185755564,5.641285094885353,2.5191991699453893,2.4375637177777767,2.2236505996613407,2.550002870082461,1320,1320,8
aeebdebe38df,42,50000,1000,48.6,0.0005,128,512,0.2,0.1,3,3.3595028356986254,0.333,0.5310673412274537,0.6661769724196377,0.7258803116679047,0.007402097740233753,0.3900166456903902,0.5666180125205763,0.1917288471390383,0.27676505217002967,0.7232349478299703,1.298231253976268,False,"{'hint': 0.0, 'scaffold': 0.4113, 'encouragement': 0.0091, 'simplify_problem': 0.0947, 'harder_problem': 0.3119, 'break': 0.173, 'explanation': 0.0, 'no_action': 0.0}",[],False,-0.3318093376267776,5.662733998569023,2.5258910428354633,2.4359264007360855,2.338654400443311,2.5262793009914213,1496,1496,9
7b0beefbfdf8,42,50000,1000,58.4,0.001,256,512,0.2,0.05,10,3.4522653641357044,0.293,0.5087450493658704,0.6525315927658758,0.7222592856308911,0.007096147812013689,0.5049633059054243,0.570354293013117,0.204177056230745,0.17894183531124275,0.7482360552332046,1.343600033245866,False,"{'hint': 0.06, 'scaffold': 0.4785, 'encouragement': 0.003, 'simplify_problem': 0.1759, 'harder_problem': 0.2418, 'break': 0.0, 'explanation': 0.0279, 'no_action': 0.0128}",[],False,0.2082372742329782,4.804777851222206,2.2361977128953834,2.1775354186306632,2.308417720041041,2.347033195404454,1113,1113,10
