config_id,seed,train_timesteps,eval_episodes,elapsed_seconds,learning_rate,batch_size,n_steps,clip_range,ent_coef,n_epochs,mean_episode_reward,success_rate,learning_gain,final_knowledge,adaptation_accuracy,mean_delta_k_per_step,p_correct,mean_engagement,mean_frustration,comfort_action_fraction,challenge_action_fraction,action_diversity_shannon,dominance_detected,action_frequencies,dominant_actions,is_baseline
b26b0f1f9656,42,50000,1000,81.0,0.0001,32,512,0.1,0.05,3,3.6472586986927724,0.116,0.4416327283087364,0.6117911363034487,0.50179099206431,0.006213949864071104,0.4560876444551263,0.5746756160397835,0.19082846618408084,0.25884756354022714,0.7411524364597729,1.0496135262756794,False,"{'hint': 0.0, 'scaffold': 0.5, 'encouragement': 0.2588, 'simplify_problem': 0.0, 'harder_problem': 0.0017, 'break': 0.0, 'explanation': 0.2394, 'no_action': 0.0}",[],False
464ffe88e0db,42,50000,1000,81.3,0.0001,32,512,0.1,0.01,3,3.632843928567038,0.106,0.4398078035042028,0.6107276467226755,0.5006235113619917,0.006192277761404168,0.45608026916606587,0.5748035902362739,0.19057409107849094,0.25995353681006167,0.7400464631899383,1.0393537605450003,False,"{'hint': 0.0, 'scaffold': 0.5, 'encouragement': 0.26, 'simplify_problem': 0.0, 'harder_problem': 0.0, 'break': 0.0, 'explanation': 0.2401, 'no_action': 0.0}",[],False
295d42b334f0,42,50000,1000,81.5,0.0001,32,512,0.1,0.001,3,3.638056729957874,0.116,0.44069374850967447,0.611207030391728,0.5006663334583357,0.006202251133639475,0.4572693224378618,0.5746723615434488,0.19058732707713258,0.25992909932103586,0.7400709006789641,1.0392748737016495,False,"{'hint': 0.0, 'scaffold': 0.5001, 'encouragement': 0.2599, 'simplify_problem': 0.0, 'harder_problem': 0.0, 'break': 0.0, 'explanation': 0.24, 'no_action': 0.0}",[],False
e45d67efa6e4,42,50000,1000,103.5,0.0001,32,512,0.1,0.01,5,3.4835897557111877,0.084,0.3645465816948306,0.5547355323357178,0.5159979337108478,0.005070910414072644,0.6090883601698309,0.5783433388951135,0.18165807187182137,0.35265961707922777,0.6473403829207723,1.2639875154149274,False,"{'hint': 0.0, 'scaffold': 0.4983, 'encouragement': 0.2514, 'simplify_problem': 0.1013, 'harder_problem': 0.0176, 'break': 0.0, 'explanation': 0.1314, 'no_action': 0.0}",[],False
0f35e9c7ff04,42,50000,1000,104.5,0.0001,32,512,0.1,0.001,5,3.5434234552459785,0.051,0.34855717442981654,0.5483673014219008,0.5002766988387413,0.004939415430274117,0.4275994556951893,0.5747217780479007,0.16306679046471576,0.4997398543184183,0.5002601456815817,1.0444346532752262,False,"{'hint': 0.0, 'scaffold': 0.4996, 'encouragement': 0.26, 'simplify_problem': 0.0, 'harder_problem': 0.0007, 'break': 0.2398, 'explanation': 0.0, 'no_action': 0.0}",[],False
637876c1ba67,42,50000,1000,104.5,0.0001,32,512,0.1,0.05,5,3.3090470610740557,0.051,0.3270000327075785,0.5311138444378297,0.5329223356589012,0.004596912636610211,0.6507148292018742,0.5782747263121376,0.1821533291449647,0.4082535741460094,0.5355812742781627,1.3005196499812732,False,"{'hint': 0.0, 'scaffold': 0.4911, 'encouragement': 0.246, 'simplify_problem': 0.1623, 'harder_problem': 0.0414, 'break': 0.0, 'explanation': 0.0031, 'no_action': 0.0562}",[],False
d3ee9cd6030d,42,50000,1000,74.8,0.0001,32,512,0.1,0.1,3,3.54627402609006,0.182,0.4357078055731398,0.6025620745415013,0.5435069183573605,0.006043146186763671,0.5689478650151567,0.5682460917129878,0.19000713176636874,0.2011121594764419,0.7988878405235581,1.3300738686263893,False,"{'hint': 0.0, 'scaffold': 0.4841, 'encouragement': 0.1159, 'simplify_problem': 0.0853, 'harder_problem': 0.0614, 'break': 0.0, 'explanation': 0.2533, 'no_action': 0.0}",[],False
3320a3d89186,42,50000,1000,160.5,0.0001,32,512,0.1,0.01,10,3.540326248051276,0.077,0.34422958366575007,0.5416774801301204,0.5231691008816329,0.004808815863468257,0.539308742841123,0.580235407809867,0.17648107559122286,0.4110497016300212,0.5227882574392246,1.386185910035988,False,"{'hint': 0.0, 'scaffold': 0.4964, 'encouragement': 0.2402, 'simplify_problem': 0.0687, 'harder_problem': 0.0258, 'break': 0.1021, 'explanation': 0.0007, 'no_action': 0.0662}",[],False
4f204f1baf03,42,50000,1000,161.1,0.0001,32,512,0.1,0.001,10,3.647213787348358,0.111,0.43395315638773546,0.6048816079255057,0.5039750663204366,0.0060771450914589124,0.47615994871383927,0.5746304691848645,0.1885260225553405,0.2696530170686754,0.7303469829313247,1.1030408016728503,False,"{'hint': 0.0, 'scaffold': 0.5, 'encouragement': 0.2589, 'simplify_problem': 0.0108, 'harder_problem': 0.0039, 'break': 0.0, 'explanation': 0.2264, 'no_action': 0.0}",[],False
057885241aee,42,50000,1000,96.6,0.0001,32,512,0.1,0.1,5,3.286092241058077,0.056,0.3073262889965794,0.516134055544666,0.4103398843899769,0.0042973131083428135,0.6433377387961072,0.5752344765999149,0.1792845359931333,0.47901397733189155,0.4746285393888421,1.6558117872454747,False,"{'hint': 0.0, 'scaffold': 0.3267, 'encouragement': 0.2556, 'simplify_problem': 0.1974, 'harder_problem': 0.0834, 'break': 0.026, 'explanation': 0.0645, 'no_action': 0.0464}",[],False
eff1f3d30d6d,42,50000,1000,75.5,0.0001,32,512,0.2,0.001,3,3.632843928567038,0.106,0.4398078035042028,0.6107276467226755,0.5006235113619917,0.006192277761404168,0.45608026916606587,0.5748035902362739,0.19057409107849094,0.25995353681006167,0.7400464631899383,1.0393537605450003,False,"{'hint': 0.0, 'scaffold': 0.5, 'encouragement': 0.26, 'simplify_problem': 0.0, 'harder_problem': 0.0, 'break': 0.0, 'explanation': 0.2401, 'no_action': 0.0}",[],False
2d80201c8bbb,42,50000,1000,99.5,0.0001,32,512,0.2,0.001,5,3.638056729957874,0.116,0.44069374850967447,0.611207030391728,0.5006663334583357,0.006202251133639475,0.4572693224378618,0.5746723615434488,0.19058732707713258,0.25992909932103586,0.7400709006789641,1.0392748737016495,False,"{'hint': 0.0, 'scaffold': 0.5001, 'encouragement': 0.2599, 'simplify_problem': 0.0, 'harder_problem': 0.0, 'break': 0.0, 'explanation': 0.24, 'no_action': 0.0}",[],False
099b33cb0f56,42,50000,1000,155.9,0.0001,32,512,0.1,0.05,10,3.567106121326543,0.059,0.3473689012607126,0.5453782574925142,0.49897832483836757,0.004882923303942318,0.4511594377027514,0.5737893531242259,0.16391657141802218,0.49983980135367856,0.49895870879891063,1.100711807777593,False,"{'hint': 0.0, 'scaffold': 0.4976, 'encouragement': 0.2544, 'simplify_problem': 0.0105, 'harder_problem': 0.0014, 'break': 0.235, 'explanation': 0.0, 'no_action': 0.0012}",[],False
ad4432006529,42,50000,1000,76.8,0.0001,32,512,0.2,0.01,3,3.632843928567038,0.106,0.4398078035042028,0.6107276467226755,0.5006235113619917,0.006192277761404168,0.45608026916606587,0.5748035902362739,0.19057409107849094,0.25995353681006167,0.7400464631899383,1.0393537605450003,False,"{'hint': 0.0, 'scaffold': 0.5, 'encouragement': 0.26, 'simplify_problem': 0.0, 'harder_problem': 0.0, 'break': 0.0, 'explanation': 0.2401, 'no_action': 0.0}",[],False
8250b22e54eb,42,50000,1000,78.1,0.0001,32,512,0.2,0.05,3,3.645020044060744,0.128,0.44768163752990936,0.6162264800628102,0.501941427849019,0.00630417177215769,0.45837172963660405,0.5736729793177429,0.1916615002227291,0.23833086261468808,0.761669137385312,1.0504422612000939,False,"{'hint': 0.0, 'scaffold': 0.5, 'encouragement': 0.2383, 'simplify_problem': 0.0, 'harder_problem': 0.0019, 'break': 0.0, 'explanation': 0.2598, 'no_action': 0.0}",[],False
2791b212d9a3,42,50000,1000,158.8,0.0001,32,512,0.1,0.1,10,3.2650984730914123,0.115,0.3087508244152101,0.5122835368699036,0.3871370144186256,0.004225029637129589,0.6196146829454101,0.5696107805296562,0.1729231033161634,0.5490266835067461,0.4434353761953449,1.7342595168892783,False,"{'hint': 0.0069, 'scaffold': 0.2606, 'encouragement': 0.1964, 'simplify_problem': 0.2197, 'harder_problem': 0.126, 'break': 0.1329, 'explanation': 0.0569, 'no_action': 0.0006}",[],False
23bd69bf009c,42,50000,1000,101.5,0.0001,32,512,0.2,0.01,5,3.638056729957874,0.116,0.44069374850967447,0.611207030391728,0.5006663334583357,0.006202251133639475,0.4572693224378618,0.5746723615434488,0.19058732707713258,0.25992909932103586,0.7400709006789641,1.0392748737016495,False,"{'hint': 0.0, 'scaffold': 0.5001, 'encouragement': 0.2599, 'simplify_problem': 0.0, 'harder_problem': 0.0, 'break': 0.0, 'explanation': 0.24, 'no_action': 0.0}",[],False
66234719032b,42,50000,1000,103.9,0.0001,32,512,0.2,0.05,5,3.38605591985672,0.077,0.34937371400109135,0.545763989008308,0.5557319449629617,0.004891039281212507,0.6339968758761565,0.5802573179261864,0.18374914917483112,0.4162694757079345,0.5836504185524893,1.2805065757185683,False,"{'hint': 0.0001, 'scaffold': 0.4858, 'encouragement': 0.2544, 'simplify_problem': 0.1619, 'harder_problem': 0.0698, 'break': 0.0, 'explanation': 0.028, 'no_action': 0.0}",[],False
