condition,condition_label,obs_ablation,emotion_dynamics,seed,gain_ratio,train_timesteps,eval_episodes,elapsed_seconds,learning_gain,final_knowledge,success_rate,adaptation_accuracy,mean_episode_reward,dropout_rate
A_full_emotion,A: Full Emotion,full_emotion,full,42,10:1,50000,500,22.8,0.6775224350504926,0.7786254047271173,0.506,0.9999600000000001,2.801220026017503,0.0
A_full_emotion,A: Full Emotion,full_emotion,full,0,10:1,50000,500,21.9,0.6984977009848679,0.7934199339148683,0.596,0.9922570266979519,2.584807245627441,0.0
A_full_emotion,A: Full Emotion,full_emotion,full,1,10:1,50000,500,21.7,0.4439876576042235,0.6135440268283314,0.18,0.44968379270675907,3.335331350801121,0.0
A_full_emotion,A: Full Emotion,full_emotion,full,7,10:1,50000,500,21.9,0.6490587519279668,0.758631661409325,0.478,0.857272601100045,2.794889721455137,0.0
A_full_emotion,A: Full Emotion,full_emotion,full,13,10:1,50000,500,21.7,0.37208464173012873,0.5699629936128512,0.058,0.38028054421768714,3.091818071301221,0.0
A_full_emotion,A: Full Emotion,full_emotion,full,21,10:1,50000,500,21.6,0.3976233123035837,0.5847601413016522,0.07,0.5301257142857142,3.0464837100693827,0.0
A_full_emotion,A: Full Emotion,full_emotion,full,99,10:1,50000,500,21.7,0.3786444231531331,0.5697729069334584,0.086,0.33591770608349386,3.1224972798501915,0.0
A_full_emotion,A: Full Emotion,full_emotion,full,100,10:1,50000,500,21.6,0.6493635082961552,0.7586229133367586,0.45,0.7757530928836679,3.177246492176595,0.0
A_full_emotion,A: Full Emotion,full_emotion,full,200,10:1,50000,500,21.6,0.24308876962022247,0.475486165140598,0.03,0.11852602316602318,2.7240006069562095,0.0
A_full_emotion,A: Full Emotion,full_emotion,full,314,10:1,50000,500,21.6,0.14250603586301772,0.41229702317954786,0.0,0.16948000000000002,3.0550049878688776,0.0
B_obs_ablation,B: Obs Ablation,knowledge_only,full,42,10:1,50000,500,557.7,0.6875139881883682,0.7857038718561484,0.542,0.4523384448295679,1.8248535530246186,0.0
B_obs_ablation,B: Obs Ablation,knowledge_only,full,0,10:1,50000,500,22.1,0.46192092405106827,0.631635806616651,0.104,0.49536489632638436,3.543958179830141,0.0
B_obs_ablation,B: Obs Ablation,knowledge_only,full,1,10:1,50000,500,21.8,0.378592520495751,0.5732673198219786,0.056,0.40841043478260874,2.9972227385325367,0.0
B_obs_ablation,B: Obs Ablation,knowledge_only,full,7,10:1,50000,500,21.7,0.3514477825233114,0.5559378632224089,0.054,0.26413028161802354,2.8730692877852815,0.0
B_obs_ablation,B: Obs Ablation,knowledge_only,full,13,10:1,50000,500,21.7,0.35591454293725916,0.55901334111358,0.052,0.5001012765957447,3.5533754556629518,0.0
B_obs_ablation,B: Obs Ablation,knowledge_only,full,21,10:1,50000,500,21.7,0.2968139441877882,0.5147111660594678,0.032,0.2505583333333333,2.9715814251105184,0.0
B_obs_ablation,B: Obs Ablation,knowledge_only,full,99,10:1,50000,500,21.7,0.2531790722906804,0.48454425293764025,0.03,0.01,2.471451317461493,0.0
B_obs_ablation,B: Obs Ablation,knowledge_only,full,100,10:1,50000,500,185.3,0.5817210721724553,0.7151966994630097,0.326,0.6627323276627352,3.4074604835974602,0.0
B_obs_ablation,B: Obs Ablation,knowledge_only,full,200,10:1,50000,500,336.0,0.33781432038331904,0.545358936358972,0.016,0.42277512820512825,3.4096036811289747,0.0
B_obs_ablation,B: Obs Ablation,knowledge_only,full,314,10:1,50000,500,179.9,0.39985797327506034,0.5871198276511337,0.03,0.43276000000000003,3.188357270814364,0.0
C_strict_no_emotion,C: Strict No-Emotion,knowledge_only,strict_off,42,10:1,50000,500,19.7,0.6945469195307326,0.78900516422984,0.574,1.0,0.6310076039311364,0.0
C_strict_no_emotion,C: Strict No-Emotion,knowledge_only,strict_off,0,10:1,50000,500,19.6,0.6523980152808624,0.7634802655298734,0.464,0.6843578105866729,0.5714562275836816,0.0
C_strict_no_emotion,C: Strict No-Emotion,knowledge_only,strict_off,1,10:1,50000,500,19.7,0.6818295720924946,0.7826171738307641,0.526,0.9506585828740022,0.6105783425772555,0.0
C_strict_no_emotion,C: Strict No-Emotion,knowledge_only,strict_off,7,10:1,50000,500,19.6,0.6350088957512343,0.7507125317065925,0.422,0.7716562171855189,0.5285940300593963,0.0
C_strict_no_emotion,C: Strict No-Emotion,knowledge_only,strict_off,13,10:1,50000,500,19.7,0.2835187256458157,0.514334892511316,0.07,0.3158471544788128,0.18212864736057574,0.0
C_strict_no_emotion,C: Strict No-Emotion,knowledge_only,strict_off,21,10:1,50000,500,19.7,0.31572487609061706,0.5365072413048412,0.012,0.28628,0.178480406891391,0.0
C_strict_no_emotion,C: Strict No-Emotion,knowledge_only,strict_off,99,10:1,50000,500,1395.6,0.3506821692587413,0.553056392717305,0.054,0.35736727272727276,0.22235190929372103,0.0
C_strict_no_emotion,C: Strict No-Emotion,knowledge_only,strict_off,100,10:1,50000,500,527.7,0.46550900977379833,0.6358069412965378,0.14,0.5008300325749598,0.33132181654177156,0.0
C_strict_no_emotion,C: Strict No-Emotion,knowledge_only,strict_off,200,10:1,50000,500,2429.2,0.6795142175167125,0.7781119592313085,0.542,0.9959919818613877,0.6149516119246086,0.0
C_strict_no_emotion,C: Strict No-Emotion,knowledge_only,strict_off,314,10:1,50000,500,1628.7,0.5937686157079032,0.7215817976040494,0.356,0.6444774505385782,0.4748847013640534,0.0
