gain_id,ratio_label,gain_correct,algorithm,seed,train_timesteps,eval_episodes,elapsed_seconds,learning_gain,final_knowledge,success_rate,dropout_rate,adaptation_accuracy,emotional_wellbeing,mean_episode_reward,action_diversity_shannon,dominance_detected,action_frequencies,dominant_actions
G0,1:1,1.0,Random,42,0,500,1.6,0.5211439879066916,0.6672191589256674,0.27,0.0,0.28809395254100834,0.37465178205704497,2.929041307057561,2.0700203190534556,False,"{'hint': 0.1311, 'scaffold': 0.1323, 'encouragement': 0.1037, 'simplify_problem': 0.1147, 'harder_problem': 0.1509, 'break': 0.1037, 'explanation': 0.116, 'no_action': 0.1476}",[]
G0,1:1,1.0,Random,7,0,500,1.6,0.5157266886587014,0.6654543944796145,0.236,0.0,0.28137319798178373,0.37689149748867923,2.9256312585473423,2.069714210164742,False,"{'hint': 0.1321, 'scaffold': 0.1303, 'encouragement': 0.1046, 'simplify_problem': 0.1129, 'harder_problem': 0.1466, 'break': 0.1044, 'explanation': 0.1152, 'no_action': 0.1538}",[]
G0,1:1,1.0,Random,13,0,500,1.6,0.5238190880635863,0.6732356547085393,0.268,0.0,0.29010918157676874,0.373524115947261,2.905640739737285,2.068019357693018,False,"{'hint': 0.1317, 'scaffold': 0.1298, 'encouragement': 0.1035, 'simplify_problem': 0.1143, 'harder_problem': 0.1548, 'break': 0.1032, 'explanation': 0.1113, 'no_action': 0.1514}",[]
G0,1:1,1.0,Random,21,0,500,1.6,0.5375855243817759,0.6796070467408386,0.288,0.0,0.2829060302757365,0.37806705006277913,2.980676824136588,2.069984054416504,False,"{'hint': 0.1297, 'scaffold': 0.1313, 'encouragement': 0.1028, 'simplify_problem': 0.1165, 'harder_problem': 0.1465, 'break': 0.1057, 'explanation': 0.114, 'no_action': 0.1534}",[]
G0,1:1,1.0,Random,99,0,500,1.6,0.5154226755200757,0.6651849568598357,0.236,0.0,0.2882553986573442,0.37673376961683336,2.9157198200092966,2.0689577943424866,False,"{'hint': 0.1306, 'scaffold': 0.1318, 'encouragement': 0.1029, 'simplify_problem': 0.1131, 'harder_problem': 0.1512, 'break': 0.1043, 'explanation': 0.1144, 'no_action': 0.1516}",[]
G0,1:1,1.0,Random,314,0,500,1.6,0.5292727466465629,0.6731151265284688,0.26,0.0,0.28969577428683746,0.37716539411546884,2.9570432152424524,2.0678109240301357,False,"{'hint': 0.1308, 'scaffold': 0.1329, 'encouragement': 0.1031, 'simplify_problem': 0.1139, 'harder_problem': 0.1516, 'break': 0.1014, 'explanation': 0.1126, 'no_action': 0.1535}",[]
G0,1:1,1.0,ERT,42,0,500,1.5,0.5250836089796945,0.6714026587296937,0.278,0.0,0.39793642255651057,0.4018207334162009,3.245547802660826,1.8908394503807104,False,"{'hint': 0.2144, 'scaffold': 0.2463, 'encouragement': 0.1361, 'simplify_problem': 0.0238, 'harder_problem': 0.1452, 'break': 0.0514, 'explanation': 0.055, 'no_action': 0.1278}",[]
G0,1:1,1.0,ERT,7,0,500,1.5,0.5260718210178806,0.6733222138990671,0.29,0.0,0.3978957426501746,0.40629780054281267,3.2962163337362442,1.8929791052404525,False,"{'hint': 0.2106, 'scaffold': 0.2475, 'encouragement': 0.1337, 'simplify_problem': 0.0229, 'harder_problem': 0.1444, 'break': 0.0524, 'explanation': 0.0567, 'no_action': 0.1319}",[]
G0,1:1,1.0,ERT,13,0,500,1.5,0.5303923836566026,0.6775232142384839,0.288,0.0,0.3982934086424044,0.40529525974618325,3.2987028286115034,1.8864768501252156,False,"{'hint': 0.2138, 'scaffold': 0.2507, 'encouragement': 0.1332, 'simplify_problem': 0.0228, 'harder_problem': 0.142, 'break': 0.0525, 'explanation': 0.0533, 'no_action': 0.1317}",[]
G0,1:1,1.0,ERT,21,0,500,1.5,0.5462892316391663,0.6863815202739989,0.296,0.0,0.3985006475890709,0.40609471632491406,3.311699321533035,1.8942584385020567,False,"{'hint': 0.2087, 'scaffold': 0.2455, 'encouragement': 0.1328, 'simplify_problem': 0.0235, 'harder_problem': 0.1462, 'break': 0.0514, 'explanation': 0.0559, 'no_action': 0.1361}",[]
G0,1:1,1.0,ERT,99,0,500,1.5,0.5151204561091739,0.6644120005932688,0.26,0.0,0.3905430448859651,0.40745526981986685,3.2923963994289354,1.8939480577537229,False,"{'hint': 0.2115, 'scaffold': 0.2469, 'encouragement': 0.1339, 'simplify_problem': 0.0232, 'harder_problem': 0.1378, 'break': 0.0525, 'explanation': 0.0568, 'no_action': 0.1376}",[]
G0,1:1,1.0,ERT,314,0,500,1.5,0.5329944666031871,0.67544875678985,0.27,0.0,0.39389225339453743,0.4063762582900828,3.3080661046099102,1.8853432639842147,False,"{'hint': 0.2145, 'scaffold': 0.2494, 'encouragement': 0.1353, 'simplify_problem': 0.0219, 'harder_problem': 0.1385, 'break': 0.0508, 'explanation': 0.0548, 'no_action': 0.1348}",[]
G0,1:1,1.0,DQN,42,50000,500,22.7,0.5631347734079845,0.6988815130598017,0.278,0.0,0.4672525378897179,0.43260654553403394,3.673017713077939,1.2876025708421572,False,"{'hint': 0.0, 'scaffold': 0.4615, 'encouragement': 0.132, 'simplify_problem': 0.0, 'harder_problem': 0.0001, 'break': 0.0052, 'explanation': 0.1582, 'no_action': 0.2431}",[]
G0,1:1,1.0,DQN,7,50000,500,22.0,0.6092713294624316,0.7332485893342914,0.416,0.0,0.4585554025308685,0.3757132947650474,2.88172989796027,1.5678642492083048,False,"{'hint': 0.1217, 'scaffold': 0.1401, 'encouragement': 0.0029, 'simplify_problem': 0.0, 'harder_problem': 0.315, 'break': 0.0, 'explanation': 0.2182, 'no_action': 0.202}",[]
