configuration,configuration_label,seed,train_population,eval_population,eval_population_label,checkpoint,learning_gain,final_knowledge,success_rate,adaptation_accuracy,mean_episode_reward,dropout_rate
A_standard_dqn,Standard DQN (A),13,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s13/dqn_40000_steps.zip,0.6451847368402663,0.7571304747311574,0.458,0.9677626920698515,1.1684754687518415,0.0
A_standard_dqn,Standard DQN (A),13,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s13/dqn_40000_steps.zip,0.6972348459948796,0.7936301175853792,0.464,0.9768938705421132,1.211480059705868,0.0
A_standard_dqn,Standard DQN (A),21,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s21/dqn_10000_steps.zip,0.6225309664003337,0.738881548331118,0.408,0.8414394700701359,1.896429254149632,0.0
A_standard_dqn,Standard DQN (A),21,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s21/dqn_10000_steps.zip,0.6482220777349624,0.7555280407240711,0.33,0.8463727880589116,1.8149833077083255,0.0
A_standard_dqn,Standard DQN (A),99,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s99/dqn_10000_steps.zip,0.5528046787415917,0.6921947253112488,0.302,0.6575659725248905,2.0779705773719845,0.0
A_standard_dqn,Standard DQN (A),99,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s99/dqn_10000_steps.zip,0.6145422673638522,0.7340128384542352,0.268,0.6764027272083026,2.017280507903956,0.0
A_standard_dqn,Standard DQN (A),314,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s314/dqn_40000_steps.zip,0.4798009085051101,0.6409171522827326,0.2,0.3390849003794786,2.0606496622428376,0.0
A_standard_dqn,Standard DQN (A),314,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s314/dqn_40000_steps.zip,0.5565396307277611,0.6945427890178,0.176,0.3770371014492754,1.9382997792977452,0.0
A_standard_dqn,Standard DQN (A),555,mixed,mixed,Mixed Population,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s555/dqn_10000_steps.zip,0.463328982088392,0.6215745299705022,0.158,0.5366396853560234,2.494966304876338,0.0
A_standard_dqn,Standard DQN (A),555,mixed,single_canonical,Single Canonical Student,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/dqn_vs_ddqn_A_standard_dqn_s555/dqn_10000_steps.zip,0.5109543889554424,0.6566162078382831,0.12,0.536263095823096,2.546522800933456,0.0
