condition,condition_label,irt_beta,seed,train_timesteps,eval_episodes,use_checkpoints,selection,val_learning_gain,gain_ratio,elapsed_seconds,learning_gain,final_knowledge,success_rate,adaptation_accuracy,mean_episode_reward,dropout_rate,action_entropy,actions_used_above_1_percent,dominance_detected,freq_hint,freq_scaffold,freq_encouragement,freq_simplify_problem,freq_harder_problem,freq_break,freq_explanation,freq_no_action
A_beta_2,Beta 2.0 - More Random (A),2.0,42,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/beta_sensitivity_A_beta_2_s42/dqn_20000_steps.zip,0.41982852555013084,10:1,26.4,0.44486937449379704,0.6206252884733882,0.126,0.5860917080237062,2.9203799078160038,0.0,1.3330517970287177,4,False,0.0,0.3694,0.127555,0.001162,0.216639,0.00024,0.000481,0.284524
A_beta_2,Beta 2.0 - More Random (A),2.0,7,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/beta_sensitivity_A_beta_2_s7/dqn_30000_steps.zip,0.5598947715364698,10:1,25.3,0.5719597894677475,0.7033624526249708,0.366,0.7877033342759677,3.2356208134149367,0.0,1.1817306604671547,5,False,0.0,0.432329,0.176026,0.0,0.355042,0.014787,0.021816,0.0
A_beta_2,Beta 2.0 - More Random (A),2.0,13,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/beta_sensitivity_A_beta_2_s13/dqn_50000_steps.zip,0.4253036104320105,10:1,25.0,0.42662316875624745,0.6083001407488734,0.096,0.3557220553359684,3.5097456475049538,0.0,1.4878542174388156,6,False,0.0,0.330732,0.197799,0.004002,0.02501,0.042937,0.329572,0.069948
A_beta_2,Beta 2.0 - More Random (A),2.0,21,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/beta_sensitivity_A_beta_2_s21/dqn_10000_steps.zip,0.5971098114462507,10:1,25.0,0.6347571020711952,0.7474715538942808,0.454,0.8960637451354413,3.0154812844913668,0.0,1.0000446535219665,4,False,0.08636,0.361328,0.0,0.016789,0.532943,0.0,0.002047,0.000532
A_beta_2,Beta 2.0 - More Random (A),2.0,99,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/beta_sensitivity_A_beta_2_s99/dqn_50000_steps.zip,0.4462224123217564,10:1,26.1,0.43822730720142455,0.6123383773293642,0.136,0.5240877106662183,3.5719178676631103,0.0,1.5222296521657068,7,False,0.0,0.475469,0.047098,0.021284,0.048581,0.136684,0.183742,0.087141
A_beta_2,Beta 2.0 - More Random (A),2.0,314,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/beta_sensitivity_A_beta_2_s314/dqn_30000_steps.zip,0.6405163804814197,10:1,26.2,0.5991022726697176,0.7181849259094376,0.408,0.8531272344037509,3.1855232820464954,0.0,1.145450578801233,4,False,0.003627,0.352229,0.008599,0.089412,0.499063,0.044951,0.000774,0.001345
B_beta_3,Beta 3.0 - Current Simulator (B),3.0,42,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/beta_sensitivity_B_beta_3_s42/dqn_40000_steps.zip,0.3910355877997246,10:1,25.5,0.4268636344090187,0.6036379926972868,0.162,0.44417541544602385,3.1689490260649853,0.0,1.6339450401537146,6,False,0.0,0.135682,0.133953,0.205855,0.306832,0.0,0.023203,0.194475
B_beta_3,Beta 3.0 - Current Simulator (B),3.0,7,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/beta_sensitivity_B_beta_3_s7/dqn_40000_steps.zip,0.664495514726417,10:1,24.9,0.673227060575933,0.7756373461627808,0.522,0.9804570605112158,2.83305590154532,0.0,0.734725156431962,3,False,0.000248,0.319609,0.013655,0.001903,0.660322,4.1e-05,0.0,0.004221
B_beta_3,Beta 3.0 - Current Simulator (B),3.0,13,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/beta_sensitivity_B_beta_3_s13/dqn_10000_steps.zip,0.5591340921695582,10:1,24.9,0.5447646967211098,0.6870472486790653,0.3,0.5139062264324641,3.249518020847213,0.0,1.6013348164377506,7,False,0.035871,0.299399,0.179559,0.0,0.213049,0.023121,0.236412,0.012589
B_beta_3,Beta 3.0 - Current Simulator (B),3.0,21,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/beta_sensitivity_B_beta_3_s21/dqn_10000_steps.zip,0.5828639054536867,10:1,25.6,0.6184141614300488,0.7344766885080691,0.418,0.718483542274063,3.261436572267886,0.0,1.3282970761972652,4,False,0.152761,0.380842,0.001957,0.007789,0.336025,0.0,0.120341,0.000285
B_beta_3,Beta 3.0 - Current Simulator (B),3.0,99,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/beta_sensitivity_B_beta_3_s99/dqn_10000_steps.zip,0.49760358331563737,10:1,25.1,0.4913178636562328,0.6501948245252513,0.216,0.6282368813129763,3.477904878863841,0.0,1.2503732498654068,4,False,8e-05,0.292001,0.0,0.325008,0.336131,0.004658,0.0,0.042122
B_beta_3,Beta 3.0 - Current Simulator (B),3.0,314,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/beta_sensitivity_B_beta_3_s314/dqn_40000_steps.zip,0.6588006901981455,10:1,25.0,0.625677767607046,0.7380007644687284,0.466,0.7861205559659209,2.7680413755100797,0.0,1.1203574359004487,4,False,0.174593,0.217794,0.0,0.008885,0.565595,0.031503,0.0,0.00163
C_beta_5,Beta 5.0 - More Deterministic (C),5.0,42,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/beta_sensitivity_C_beta_5_s42/dqn_30000_steps.zip,0.5201529808710261,10:1,24.8,0.553120765067556,0.692327616418761,0.312,0.6993066819062258,3.3058048588630746,0.0,1.3429847459577733,6,False,0.0,0.500081,0.0,0.032531,0.199467,0.192799,0.041744,0.033379
C_beta_5,Beta 5.0 - More Deterministic (C),5.0,7,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/beta_sensitivity_C_beta_5_s7/dqn_50000_steps.zip,0.6742580522646863,10:1,25.5,0.6769597261064412,0.7785298491086778,0.544,0.8387340074863453,3.1064267634426734,0.0,1.1230811164160657,4,False,0.046666,0.354339,0.001236,0.0,0.483875,0.000947,0.112937,0.0
C_beta_5,Beta 5.0 - More Deterministic (C),5.0,13,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/beta_sensitivity_C_beta_5_s13/dqn_10000_steps.zip,0.5749864641904712,10:1,25.0,0.5625885935658077,0.6999069744412063,0.352,0.693345669951904,3.6075050556726547,0.0,1.3377222944929876,6,False,0.006903,0.500161,0.184361,4e-05,0.19191,0.013523,0.091878,0.011222
C_beta_5,Beta 5.0 - More Deterministic (C),5.0,21,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/beta_sensitivity_C_beta_5_s21/dqn_10000_steps.zip,0.6031701214610843,10:1,25.2,0.6422971362652543,0.7510326878296961,0.492,0.5361869356239702,3.2342102092468865,0.0,1.4137136461162902,5,False,0.107954,0.227463,0.031091,8.2e-05,0.305642,0.0,0.327768,0.0
C_beta_5,Beta 5.0 - More Deterministic (C),5.0,99,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/beta_sensitivity_C_beta_5_s99/dqn_30000_steps.zip,0.5972206434359055,10:1,24.9,0.604260185582845,0.7267075614362835,0.396,0.7233724762301668,3.207244375152572,0.0,1.166054450069005,3,False,0.00856,0.326545,0.258996,0.009209,0.39669,0.0,0.0,0.0
C_beta_5,Beta 5.0 - More Deterministic (C),5.0,314,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/beta_sensitivity_C_beta_5_s314/dqn_50000_steps.zip,0.39098019125423883,10:1,24.9,0.36286616811339034,0.5624413920834604,0.048,0.24848,3.5185058779900045,0.0,1.4900608752253266,5,False,0.00228,0.24612,0.16904,0.0064,0.00236,0.02044,0.31892,0.23444
