configuration,configuration_label,seed,train_timesteps,eval_episodes,use_checkpoints,selection,val_learning_gain,gain_ratio,elapsed_seconds,wk,we,wf,wb,wc,learning_gain,final_knowledge,success_rate,adaptation_accuracy,mean_episode_reward,dropout_rate,action_entropy,actions_used_above_1_percent,dominant_action_pct,dominance_detected,freq_hint,freq_scaffold,freq_encouragement,freq_simplify_problem,freq_harder_problem,freq_break,freq_explanation,freq_no_action
A_original_thesis,A: Original Thesis,42,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/intermediate_reward_A_original_thesis_s42/dqn_40000_steps.zip,0.6007057120863264,10:1,27.4,0.5,0.2,0.15,0.1,0.05,0.628384489338574,0.7428757025685155,0.446,0.8689195502745759,3.288423271277439,0.0,1.1399490071228682,5,0.4544379663228279,False,0.0,0.414645,0.05655,0.044685,0.454438,0.003506,0.0,0.026175
A_original_thesis,A: Original Thesis,7,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/intermediate_reward_A_original_thesis_s7/dqn_40000_steps.zip,0.6498830527563392,10:1,26.7,0.5,0.2,0.15,0.1,0.05,0.6507746674561099,0.7618685927563401,0.488,0.7462957415056812,3.1260045512983043,0.0,1.1178463834027874,5,0.575826774864413,False,0.0,0.271745,0.053623,0.076051,0.575827,4.1e-05,0.020715,0.001998
A_original_thesis,A: Original Thesis,13,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/intermediate_reward_A_original_thesis_s13/dqn_10000_steps.zip,0.68617599712621,10:1,26.5,0.5,0.2,0.15,0.1,0.05,0.680042027552117,0.7803784719037676,0.528,0.7883435321062693,2.9787756373891794,0.0,0.5820894815327745,3,0.7980757370173924,True,0.00037,0.17746,0.023642,0.0,0.798076,0.000247,0.0,0.000206
A_original_thesis,A: Original Thesis,21,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/intermediate_reward_A_original_thesis_s21/dqn_10000_steps.zip,0.6165048901497481,10:1,25.9,0.5,0.2,0.15,0.1,0.05,0.6536223680689135,0.7610872668771292,0.486,0.9027332702257804,3.3524934192721267,0.0,0.9472840393871602,3,0.4804147465437788,False,0.099284,0.480415,0.000165,0.0,0.420137,0.0,0.0,0.0
A_original_thesis,A: Original Thesis,99,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/intermediate_reward_A_original_thesis_s99/dqn_50000_steps.zip,0.6280412982622292,10:1,26.1,0.5,0.2,0.15,0.1,0.05,0.6255201291904744,0.741652717164825,0.438,0.8337102754681758,3.381746866603078,0.0,1.172124993348969,5,0.5002458613342075,False,0.0,0.500246,0.0,0.044665,0.331544,0.024873,0.098631,4.1e-05
A_original_thesis,A: Original Thesis,314,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/intermediate_reward_A_original_thesis_s314/dqn_40000_steps.zip,0.46764329538848814,10:1,25.3,0.5,0.2,0.15,0.1,0.05,0.42522636117178764,0.596912802266943,0.162,0.2130921629875109,3.1755202848266566,0.0,1.6097749328449793,7,0.3022181146025878,False,0.302218,0.056056,0.223379,0.016957,0.15571,0.0,0.233585,0.012095
B_balanced_1,B: Balanced-1,42,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/intermediate_reward_B_balanced_1_s42/dqn_10000_steps.zip,0.5700083323927879,10:1,25.5,0.4,0.2,0.15,0.125,0.125,0.603852722632065,0.7236728330218598,0.424,0.7592336196791678,2.300032122493315,0.0,1.3883126450674177,6,0.44143189138500427,False,0.0,0.315815,0.055571,0.094223,0.441432,0.001264,0.067762,0.023933
B_balanced_1,B: Balanced-1,7,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/intermediate_reward_B_balanced_1_s7/dqn_50000_steps.zip,0.6093995505880105,10:1,25.7,0.4,0.2,0.15,0.125,0.125,0.6131265168748989,0.7348304297627865,0.408,0.7348908403813552,2.2521023756258347,0.0,1.2781364314966939,4,0.40379989399437355,False,0.000448,0.329596,0.135973,0.0,0.4038,0.0,0.129164,0.001019
B_balanced_1,B: Balanced-1,13,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/intermediate_reward_B_balanced_1_s13/dqn_10000_steps.zip,0.46186324614886304,10:1,25.5,0.4,0.2,0.15,0.125,0.125,0.45636039594135913,0.6274958609191376,0.184,0.5580196992587585,2.9021548605995187,0.0,1.293178876946716,6,0.4989752039545071,False,0.001929,0.498975,0.228951,0.01286,0.058192,0.0,0.18382,0.015271
B_balanced_1,B: Balanced-1,21,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/intermediate_reward_B_balanced_1_s21/dqn_10000_steps.zip,0.6140830895301324,10:1,25.5,0.4,0.2,0.15,0.125,0.125,0.6532280217565665,0.7606273623998243,0.496,0.8925433900568656,2.2587020605883255,0.0,1.0340052506536357,4,0.5057598946762116,False,0.067144,0.38365,0.042623,0.000823,0.50576,0.0,0.0,0.0
