config_id,label,seed,train_timesteps,use_checkpoints,selection,val_learning_gain,elapsed_seconds,learning_rate,batch_size,buffer_size,target_update_interval,exploration_fraction,exploration_final_eps,net_arch,learning_gain,final_knowledge,success_rate,adaptation_accuracy,mean_episode_reward
0bc4111beb,no_checkpoint,42,50000,False,final@50000,,21.7,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.39518582449214834,0.5850601796472183,0.066,0.45524178375464674,3.471971414526989
a7e35db5f6,checkpoint_sel,42,50000,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/stability_checkpoint_sel_a7e35db5f6_s42/dqn_40000_steps.zip,0.3910355877997246,25.0,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.4268636344090187,0.6036379926972868,0.162,0.44417541544602385,3.1689490260649853
0bc4111beb,no_checkpoint,0,50000,False,final@50000,,72.0,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.4776007880176598,0.6424691719795077,0.162,0.6774767515005486,3.4528299540616265
a7e35db5f6,checkpoint_sel,0,50000,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/stability_checkpoint_sel_a7e35db5f6_s0/dqn_40000_steps.zip,0.43460671687660946,25.2,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.45363193362592824,0.6260328914639915,0.112,0.4991366369501918,3.6345301469405977
0bc4111beb,no_checkpoint,1,50000,False,final@50000,,22.5,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.4426621193376801,0.6172237612035185,0.104,0.47842439024390243,3.5055314743358075
a7e35db5f6,checkpoint_sel,1,50000,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/stability_checkpoint_sel_a7e35db5f6_s1/dqn_50000_steps.zip,0.43643607725631556,25.8,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.43618152353185474,0.6128608453423319,0.102,0.4637611846374034,3.4868894483517545
0bc4111beb,no_checkpoint,7,50000,False,final@50000,,22.4,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.6555215271185939,0.7632457497077291,0.522,0.9441713253471449,3.0252875329419813
a7e35db5f6,checkpoint_sel,7,50000,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/stability_checkpoint_sel_a7e35db5f6_s7/dqn_40000_steps.zip,0.664495514726417,25.9,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.673227060575933,0.7756373461627808,0.522,0.9804570605112158,2.83305590154532
0bc4111beb,no_checkpoint,13,50000,False,final@50000,,22.5,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.2802630252467037,0.5077918959790707,0.02,0.2546,3.0846710011352507
a7e35db5f6,checkpoint_sel,13,50000,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/stability_checkpoint_sel_a7e35db5f6_s13/dqn_10000_steps.zip,0.5591340921695582,25.8,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.5447646967211098,0.6870472486790653,0.3,0.5139062264324641,3.249518020847213
0bc4111beb,no_checkpoint,21,50000,False,final@50000,,22.3,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.3770462006723045,0.5654904197073417,0.122,0.08564200424843896,3.0637645032620346
a7e35db5f6,checkpoint_sel,21,50000,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/stability_checkpoint_sel_a7e35db5f6_s21/dqn_10000_steps.zip,0.5828639054536867,25.6,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.6184141614300488,0.7344766885080691,0.418,0.718483542274063,3.261436572267886
0bc4111beb,no_checkpoint,99,50000,False,final@50000,,23.0,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.3546497991168408,0.5532781740389505,0.072,0.5012123218229463,3.387660216071414
a7e35db5f6,checkpoint_sel,99,50000,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/stability_checkpoint_sel_a7e35db5f6_s99/dqn_10000_steps.zip,0.49760358331563737,25.5,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.4913178636562328,0.6501948245252513,0.216,0.6282368813129763,3.477904878863841
0bc4111beb,no_checkpoint,100,50000,False,final@50000,,22.6,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.5459922495466751,0.687073850238513,0.262,0.6958477679946589,3.3096827547215684
a7e35db5f6,checkpoint_sel,100,50000,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/stability_checkpoint_sel_a7e35db5f6_s100/dqn_30000_steps.zip,0.6756594058270811,25.9,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.6820468605850643,0.7800359689462056,0.53,0.9896511387163561,2.905560340687829
0bc4111beb,no_checkpoint,200,50000,False,final@50000,,22.6,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.43040021007817936,0.607581139311571,0.186,0.5371603146304328,3.122366266222503
a7e35db5f6,checkpoint_sel,200,50000,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/stability_checkpoint_sel_a7e35db5f6_s200/dqn_10000_steps.zip,0.45245046261868554,25.6,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.45689499841541964,0.6228548587304055,0.178,0.6347946420246419,3.3113528059819304
0bc4111beb,no_checkpoint,314,50000,False,final@50000,,21.7,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.3322300076722461,0.5382294431885221,0.04,0.46304,3.4226470842916035
a7e35db5f6,checkpoint_sel,314,50000,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/stability_checkpoint_sel_a7e35db5f6_s314/dqn_40000_steps.zip,0.6588006901981455,24.0,0.0005,64,100000,2000,0.3,0.05,"[64, 64]",0.625677767607046,0.7380007644687284,0.466,0.7861205559659209,2.7680413755100797
