label,n_seeds,learning_gain_mean,learning_gain_std,learning_gain_cv,learning_gain_ci,success_rate_mean,adaptation_mean,reward_mean
final_eps_0.02,10,0.4325,0.1027,0.2374,"[0.369, 0.496]",0.1616,0.5137,3.1958
target_upd_1000,10,0.4346,0.109,0.2509,"[0.367, 0.502]",0.1558,0.5186,3.2978
baseline,10,0.4292,0.1098,0.2557,"[0.361, 0.497]",0.1556,0.5093,3.2846
expl_frac_0.3,10,0.4292,0.1098,0.2557,"[0.361, 0.497]",0.1556,0.5093,3.2846
final_eps_0.05,10,0.4292,0.1098,0.2557,"[0.361, 0.497]",0.1556,0.5093,3.2846
net_arch_64-64,10,0.4292,0.1098,0.2557,"[0.361, 0.497]",0.1556,0.5093,3.2846
target_upd_2000,10,0.4292,0.1098,0.2557,"[0.361, 0.497]",0.1556,0.5093,3.2846
net_arch_128-128-128,10,0.4141,0.1249,0.3015,"[0.337, 0.491]",0.1554,0.4945,3.2145
expl_frac_0.5,10,0.4391,0.1256,0.2861,"[0.361, 0.517]",0.182,0.5397,3.3394
expl_frac_0.7,10,0.4334,0.1258,0.2903,"[0.355, 0.511]",0.166,0.503,3.2578
target_upd_500,10,0.4191,0.1317,0.3142,"[0.338, 0.501]",0.1406,0.4969,3.3154
final_eps_0.01,10,0.4198,0.1387,0.3304,"[0.334, 0.506]",0.1668,0.5293,3.2269
