configuration,seed,train_timesteps,eval_episodes,gain_ratio,elapsed_seconds,wk,we,wf,wb,wc,learning_gain,final_knowledge,success_rate,adaptation_accuracy,mean_episode_reward,dropout_rate,action_entropy,actions_used,dominance_detected,freq_hint,freq_scaffold,freq_encouragement,freq_simplify_problem,freq_harder_problem,freq_break,freq_explanation,freq_no_action
baseline_weights,42,50000,500,10:1,24.2,0.5,0.2,0.15,0.1,0.05,0.35512770433068463,0.5580687458348027,0.05,0.5155163589981447,3.2820466538937025,0.0,1.4719738146678312,5,False,0.0,0.416904,0.222992,0.15001,0.101582,0.002804,0.00024,0.105468
baseline_weights,7,50000,500,10:1,23.2,0.5,0.2,0.15,0.1,0.05,0.5367039587180182,0.6801326862378922,0.302,0.7373554390787137,3.4665789360173354,0.0,1.3445924347916063,6,False,0.013845,0.494087,0.012311,0.099132,0.24226,0.129728,0.001695,0.006942
baseline_weights,13,50000,500,10:1,23.3,0.5,0.2,0.15,0.1,0.05,0.3325121700847001,0.5443066497158832,0.038,0.18992,3.4331826703297557,0.0,1.569373722212688,5,False,0.0,0.18944,0.18352,0.0,0.00048,0.15308,0.32024,0.15324
baseline_weights,21,50000,500,10:1,23.5,0.5,0.2,0.15,0.1,0.05,0.1849572092838206,0.4352244398449054,0.048,0.09842322880371662,3.2552125254655975,0.0,1.5635247575753437,6,False,0.158371,0.005646,0.180555,0.124054,0.091619,0.024386,0.0,0.415369
baseline_weights,99,50000,500,10:1,22.2,0.5,0.2,0.15,0.1,0.05,0.6403469961036297,0.7519793443970136,0.444,0.8906218566298774,3.323087800864046,0.0,1.0463780359902508,5,False,0.0,0.500492,0.0,0.02266,0.388543,0.010654,0.077651,0.0
baseline_weights,314,50000,500,10:1,22.8,0.5,0.2,0.15,0.1,0.05,0.2580378285831132,0.4903778624995705,0.008,0.30951999999999996,3.5124971918980328,0.0,1.478933997468674,5,False,4e-05,0.30936,0.186,0.00032,0.00016,0.23748,0.03564,0.231
equal_weights,42,50000,500,10:1,21.9,0.2,0.2,0.2,0.2,0.2,0.3451075905298545,0.5492339299550018,0.05,0.5012426928471247,1.054177974231239,0.0,1.0650448891457953,3,False,0.003204,0.49998,0.258742,0.0,0.001202,0.236753,0.00012,0.0
equal_weights,7,50000,500,10:1,22.1,0.2,0.2,0.2,0.2,0.2,0.3792917213342016,0.5745190053436682,0.048,0.4501554591836735,1.1766133320144208,0.0,1.4888941843654568,6,False,0.0,0.440295,0.235259,0.025139,0.009847,0.045354,0.145511,0.098595
equal_weights,13,50000,500,10:1,22.4,0.2,0.2,0.2,0.2,0.2,0.2530549139018132,0.48820982214275976,0.014,0.09952000000000001,0.7045126960432977,0.0,1.7737174036665468,7,False,0.07712,0.08708,0.20816,0.0022,0.0124,0.16992,0.22396,0.21916
equal_weights,21,50000,500,10:1,21.9,0.2,0.2,0.2,0.2,0.2,0.37653360777460326,0.5698944179298819,0.076,0.30539156143689095,0.6289561641577214,0.0,1.5296193355748273,5,False,0.0,0.219484,0.185622,0.176405,0.085077,0.000281,0.333133,0.0
equal_weights,99,50000,500,10:1,21.9,0.2,0.2,0.2,0.2,0.2,0.4372130914616284,0.6119691796814953,0.102,0.49473571815718165,1.3351329517774675,0.0,1.2739525311869622,4,False,0.0,0.491383,0.106044,0.000401,0.003326,0.159226,0.233128,0.006492
equal_weights,314,50000,500,10:1,21.8,0.2,0.2,0.2,0.2,0.2,0.3771919777291737,0.5698328514282607,0.07,0.48144000000000003,0.6885753285811023,0.0,1.6268022367504718,6,False,0.00012,0.3722,0.00192,0.18416,0.11012,0.0432,0.12408,0.1642
