comparison,condition_a,condition_b,metric,mean_a,mean_b,delta_a_minus_b,std_a,std_b,cohens_d,t,p_raw,p_holm
obs_info_A_vs_B,A_full_emotion,B_obs_ablation,learning_gain,0.4652,0.4105,0.0548,0.1949,0.133,0.3282,0.7339,0.473725,0.473725
dynamics_B_vs_C,B_obs_ablation,C_strict_no_emotion,learning_gain,0.4105,0.5353,-0.1248,0.133,0.1651,-0.8323,-1.8611,0.079888,0.239665
combined_A_vs_C,A_full_emotion,C_strict_no_emotion,learning_gain,0.4652,0.5353,-0.07,0.1949,0.1651,-0.3877,-0.8668,0.397755,0.795511
obs_info_A_vs_B,A_full_emotion,B_obs_ablation,final_knowledge,0.6315,0.5952,0.0363,0.1344,0.0923,0.3145,0.7033,0.492041,0.492041
dynamics_B_vs_C,B_obs_ablation,C_strict_no_emotion,final_knowledge,0.5952,0.6825,-0.0873,0.0923,0.1114,-0.8531,-1.9075,0.073109,0.219328
combined_A_vs_C,A_full_emotion,C_strict_no_emotion,final_knowledge,0.6315,0.6825,-0.051,0.1344,0.1114,-0.4131,-0.9237,0.368273,0.736547
obs_info_A_vs_B,A_full_emotion,B_obs_ablation,success_rate,0.2454,0.1242,0.1212,0.2331,0.1727,0.5908,1.3212,0.204378,0.408756
dynamics_B_vs_C,B_obs_ablation,C_strict_no_emotion,success_rate,0.1242,0.316,-0.1918,0.1727,0.2234,-0.9607,-2.1482,0.046471,0.139413
combined_A_vs_C,A_full_emotion,C_strict_no_emotion,success_rate,0.2454,0.316,-0.0706,0.2331,0.2234,-0.3093,-0.6915,0.498062,0.498062
obs_info_A_vs_B,A_full_emotion,B_obs_ablation,adaptation_accuracy,0.5609,0.3899,0.171,0.3263,0.1778,0.6508,1.4553,0.167782,0.335565
dynamics_B_vs_C,B_obs_ablation,C_strict_no_emotion,adaptation_accuracy,0.3899,0.6507,-0.2608,0.1778,0.279,-1.1151,-2.4934,0.024587,0.07376
combined_A_vs_C,A_full_emotion,C_strict_no_emotion,adaptation_accuracy,0.5609,0.6507,-0.0898,0.3263,0.279,-0.2959,-0.6616,0.516796,0.516796
obs_info_A_vs_B,A_full_emotion,B_obs_ablation,mean_episode_reward,2.9733,3.0241,-0.0508,0.2346,0.5419,-0.1216,-0.2718,0.790265,0.790265
dynamics_B_vs_C,B_obs_ablation,C_strict_no_emotion,mean_episode_reward,3.0241,0.4346,2.5895,0.5419,0.1875,6.3866,14.2809,0.0,0.0
combined_A_vs_C,A_full_emotion,C_strict_no_emotion,mean_episode_reward,2.9733,0.4346,2.5388,0.2346,0.1875,11.9543,26.7306,0.0,0.0
obs_info_A_vs_B,A_full_emotion,B_obs_ablation,dropout_rate,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0
dynamics_B_vs_C,B_obs_ablation,C_strict_no_emotion,dropout_rate,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0
combined_A_vs_C,A_full_emotion,C_strict_no_emotion,dropout_rate,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0
