condition,condition_label,transition_noise_std,seed,train_timesteps,eval_episodes,use_checkpoints,selection,val_learning_gain,gain_ratio,elapsed_seconds,learning_gain,final_knowledge,success_rate,adaptation_accuracy,mean_episode_reward,dropout_rate,action_entropy,actions_used_above_1_percent,dominance_detected,freq_hint,freq_scaffold,freq_encouragement,freq_simplify_problem,freq_harder_problem,freq_break,freq_explanation,freq_no_action
A_baseline_noise,Baseline Noise (A),0.02,42,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/transition_noise_A_baseline_noise_s42/dqn_40000_steps.zip,0.3910355877997246,10:1,27.3,0.4268636344090187,0.6036379926972868,0.162,0.44417541544602385,3.1689490260649853,0.0,1.6339450401537146,6,False,0.0,0.135682,0.133953,0.205855,0.306832,0.0,0.023203,0.194475
A_baseline_noise,Baseline Noise (A),0.02,7,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/transition_noise_A_baseline_noise_s7/dqn_40000_steps.zip,0.664495514726417,10:1,26.4,0.673227060575933,0.7756373461627808,0.522,0.9804570605112158,2.83305590154532,0.0,0.734725156431962,3,False,0.000248,0.319609,0.013655,0.001903,0.660322,4.1e-05,0.0,0.004221
A_baseline_noise,Baseline Noise (A),0.02,13,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/transition_noise_A_baseline_noise_s13/dqn_10000_steps.zip,0.5591340921695582,10:1,26.5,0.5447646967211098,0.6870472486790653,0.3,0.5139062264324641,3.249518020847213,0.0,1.6013348164377506,7,False,0.035871,0.299399,0.179559,0.0,0.213049,0.023121,0.236412,0.012589
A_baseline_noise,Baseline Noise (A),0.02,21,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/transition_noise_A_baseline_noise_s21/dqn_10000_steps.zip,0.5828639054536867,10:1,26.4,0.6184141614300488,0.7344766885080691,0.418,0.718483542274063,3.261436572267886,0.0,1.3282970761972652,4,False,0.152761,0.380842,0.001957,0.007789,0.336025,0.0,0.120341,0.000285
A_baseline_noise,Baseline Noise (A),0.02,99,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/transition_noise_A_baseline_noise_s99/dqn_10000_steps.zip,0.49760358331563737,10:1,26.5,0.4913178636562328,0.6501948245252513,0.216,0.6282368813129763,3.477904878863841,0.0,1.2503732498654068,4,False,8e-05,0.292001,0.0,0.325008,0.336131,0.004658,0.0,0.042122
A_baseline_noise,Baseline Noise (A),0.02,314,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/transition_noise_A_baseline_noise_s314/dqn_40000_steps.zip,0.6588006901981455,10:1,26.4,0.625677767607046,0.7380007644687284,0.466,0.7861205559659209,2.7680413755100797,0.0,1.1203574359004487,4,False,0.174593,0.217794,0.0,0.008885,0.565595,0.031503,0.0,0.00163
B_half_noise,Half Noise (B),0.01,42,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/transition_noise_B_half_noise_s42/dqn_40000_steps.zip,0.4669186715496474,10:1,26.4,0.49904539304226503,0.6516295542966338,0.236,0.6337447997699569,3.2825456172416962,0.0,1.5847952441298607,6,False,0.00012,0.325399,0.11437,0.112447,0.309289,0.098822,0.001162,0.038391
B_half_noise,Half Noise (B),0.01,7,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/transition_noise_B_half_noise_s7/dqn_50000_steps.zip,0.5652825520614592,10:1,26.5,0.5618621489048554,0.6963152603341125,0.348,0.6616843668978777,3.311375882721342,0.0,1.403634085719537,5,False,0.232935,0.382431,0.004887,0.001803,0.278801,0.001402,0.056161,0.04158
B_half_noise,Half Noise (B),0.01,13,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/transition_noise_B_half_noise_s13/dqn_10000_steps.zip,0.4778926343527604,10:1,26.3,0.4769616910273216,0.6400073533142047,0.174,0.5502469764075842,3.453337624481366,0.0,1.5981117131232545,6,False,0.001,0.38918,0.215197,0.0008,0.161338,0.069545,0.088752,0.074187
B_half_noise,Half Noise (B),0.01,21,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/transition_noise_B_half_noise_s21/dqn_10000_steps.zip,0.6499594771989091,10:1,26.5,0.6841523999020688,0.7823413393259755,0.56,0.9674606371882214,3.023158503585073,0.0,0.812845499352369,4,False,0.011108,0.317849,0.018096,0.001091,0.644666,0.0,0.00719,0.0
