seed,variant,model,final_reward_mean,final_reward_std,learning_gain_mean,learning_gain_std,adaptation_accuracy_mean,adaptation_accuracy_std,n_episodes
42,emotion_aware,PPO (emotion-aware),3.5561796999999995,2.3720896928001265,0.44112419999999997,0.1631016340119785,0.31862300000000005,0.1544380007221897,1000
42,no_emotion,PPO (no emotion),3.4446765,2.1021703901984674,0.5095550999999999,0.1726548647919494,0.3352647,0.13770447198807856,1000
0,emotion_aware,PPO (emotion-aware),3.6246579000000003,2.27812415291478,0.4183913,0.16461034560497767,0.305221,0.15350858779079926,1000
0,no_emotion,PPO (no emotion),3.5963818,2.354326641556754,0.4714007,0.14979762306988514,0.3494236,0.14841774034356098,1000
1,emotion_aware,PPO (emotion-aware),3.6501750000000004,2.0540741133264975,0.4125507,0.16590891949825687,0.3271026000000001,0.1569704455431468,1000
1,no_emotion,PPO (no emotion),2.7476689000000003,2.079226724933206,0.5300032000000001,0.16994170445382933,0.30130619999999997,0.14592838076903983,1000
7,emotion_aware,PPO (emotion-aware),3.5722442,2.11905701043172,0.4049952,0.16737002779220406,0.3117116,0.14349746432501065,1000
7,no_emotion,PPO (no emotion),3.5736909,2.0565541815446577,0.48774929999999994,0.17148636013170615,0.31448020000000004,0.13362445181209195,1000
13,emotion_aware,PPO (emotion-aware),3.6575905999999994,2.19256964056341,0.4364303,0.16672117598683267,0.32538710000000004,0.1644634753929526,1000
13,no_emotion,PPO (no emotion),3.1064643999999997,2.1703397315542565,0.4562881,0.1873190724493726,0.1411008,0.10140687192213865,1000
21,emotion_aware,PPO (emotion-aware),3.6459649,2.292858447339811,0.4259786,0.1629104195158395,0.3000394,0.1663367923705881,1000
21,no_emotion,PPO (no emotion),3.2027885,2.3241683817840384,0.47710840000000004,0.17562275433804492,0.2200445,0.164036726184374,1000
99,emotion_aware,PPO (emotion-aware),3.3156772,2.408312191014601,0.4099918,0.16582018703157703,0.3486078,0.16671500578026055,1000
99,no_emotion,PPO (no emotion),3.3978647,1.987758771943756,0.498343,0.16325795168931218,0.2580258,0.17361178043169959,1000
100,emotion_aware,PPO (emotion-aware),3.5763419999999995,2.0327873874506843,0.41248650000000003,0.16628263325396272,0.3139599,0.14553224665621983,1000
100,no_emotion,PPO (no emotion),3.255471,2.3710126756065404,0.5234835000000001,0.16296470910649388,0.33319989999999994,0.13242714872604375,1000
200,emotion_aware,PPO (emotion-aware),3.6248046,1.949663976689532,0.4143563,0.16256283614653752,0.31607989999999997,0.143235045447105,1000
200,no_emotion,PPO (no emotion),1.9267983,1.3753226601662158,0.6136232,0.15534899991159756,0.327223,0.16825873377775222,1000
314,emotion_aware,PPO (emotion-aware),3.7382632000000005,1.9328842841105416,0.41482420000000003,0.1671284024253725,0.2687425,0.13962439692247902,1000
314,no_emotion,PPO (no emotion),3.5145781,1.9314301203046436,0.46664269999999997,0.16546126506511108,0.27651290000000006,0.1398779980480416,1000
