seed,selected_checkpoint,validation_learning_gain,final_eval_learning_gain,selected_eval_learning_gain,condition
42,30000,0.6685,0.7,0.7011,C
0,10000,0.6791,0.5677,0.693,C
1,50000,0.6794,0.681,0.681,C
7,20000,0.6857,0.6341,0.6836,C
13,10000,0.7107,0.3901,0.6899,C
21,10000,0.6818,0.551,0.7152,C
99,20000,0.7027,0.3214,0.698,C
100,40000,0.6937,0.6876,0.711,C
200,10000,0.6835,0.6792,0.6795,C
314,30000,0.6679,0.5351,0.6764,C
500,30000,0.6788,0.3381,0.6901,C
777,30000,0.7231,0.6524,0.6963,C
1234,20000,0.6574,0.3393,0.6537,C
2024,10000,0.7007,0.5581,0.697,C
5555,30000,0.6686,0.6412,0.6799,C
8888,40000,0.6922,0.1772,0.6884,C
9999,10000,0.6778,0.6767,0.691,C
10101,30000,0.7267,0.0202,0.6986,C
20202,50000,0.6835,0.6881,0.6881,C
30303,20000,0.6902,0.6025,0.6885,C
