algorithm,seed,eval_episodes,dqn_checkpoint,learning_gain,success_rate,adaptation_accuracy,mean_episode_reward,dropout_rate,action_entropy,dominant_action_pct,freq_hint,freq_scaffold,freq_encouragement,freq_simplify_problem,freq_harder_problem,freq_break,freq_explanation,freq_no_action,configuration,configuration_label,population_mode,gain_ratio
DQN,42,500,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_D_reward_and_gains_s42/dqn_20000_steps.zip,0.5040492,0.228,0.5130102553790469,1.988962667365955,0.0,1.777519037265222,0.2795495676653931,0.0,0.2795495676653931,0.1216569475165895,0.0464508345063342,0.2334606877136537,0.046812789060929,0.1572491453850794,0.1148200281520209,B_realistic_mixed,B: Best Realistic Thesis System,mixed,10:1
DQN,7,500,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_D_reward_and_gains_s7/dqn_50000_steps.zip,0.5221193999999999,0.27,0.4474436968695862,2.06533682368949,0.0,1.6050851994736386,0.267837718061319,0.0375085612989001,0.263486563796785,0.0337617340155513,0.0045928850570081,0.1839974215382136,0.0,0.267837718061319,0.2088151162322227,B_realistic_mixed,B: Best Realistic Thesis System,mixed,10:1
DQN,13,500,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_D_reward_and_gains_s13/dqn_40000_steps.zip,0.6451849999999999,0.458,0.9677458716342634,1.1684754687518415,0.0,0.7336802250468603,0.6680631253558936,0.0002440413243309,0.3059058000488082,0.0243634588790368,0.0,0.6680631253558936,0.0014235743919303,0.0,0.0,B_realistic_mixed,B: Best Realistic Thesis System,mixed,10:1
DQN,21,500,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_D_reward_and_gains_s21/dqn_10000_steps.zip,0.6225316000000001,0.408,0.8400633734156646,1.896429254149632,0.0,1.1300147130404323,0.4225706857328566,0.0513893402664933,0.4225706857328566,0.1071254468638284,0.0,0.4174926876828079,0.0,0.0013812154696132,4.062398440038999e-05,B_realistic_mixed,B: Best Realistic Thesis System,mixed,10:1
DQN,99,500,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_D_reward_and_gains_s99/dqn_10000_steps.zip,0.552804,0.302,0.6568833266047638,2.0779705773719845,0.0,1.1806444564714562,0.4499394428744449,0.0032700847799757,0.2069438837303189,0.0003229713362939,0.3069842551473556,0.4499394428744449,0.0,0.0,0.0325393621316108,B_realistic_mixed,B: Best Realistic Thesis System,mixed,10:1
DQN,314,500,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_D_reward_and_gains_s314/dqn_40000_steps.zip,0.479803,0.2,0.3379936523241332,2.0606496622428376,0.0,1.7430400845608531,0.2891808284118757,0.0134988550078341,0.1338234703306416,0.0749668554899361,0.0718331927202603,0.2041701819934916,0.004057691535093,0.2891808284118757,0.2084689245108673,B_realistic_mixed,B: Best Realistic Thesis System,mixed,10:1
DQN,555,500,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_thesis_B_realistic_mixed_s555/dqn_10000_steps.zip,0.4633296,0.158,0.5364944486752976,2.494966304876338,0.0,1.3276140600437851,0.4860315042687081,0.0633291915507635,0.4860315042687081,0.2438173874704396,0.0034470319451681,0.0504629444065894,0.0,0.1528317768247224,8.016353360856147e-05,B_realistic_mixed,B: Best Realistic Thesis System,mixed,10:1
DQN,777,500,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_thesis_B_realistic_mixed_s777/dqn_40000_steps.zip,0.525307,0.224,0.7310998634209046,2.3518852620494695,0.0,1.2955925241541382,0.5001205109664979,0.0029324335181168,0.5001205109664979,0.0850807423475536,0.1548565919498674,0.2309793524544066,0.0,0.0,0.0260303687635574,B_realistic_mixed,B: Best Realistic Thesis System,mixed,10:1
DQN,888,500,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_thesis_B_realistic_mixed_s888/dqn_10000_steps.zip,0.6096844000000001,0.39,0.7492700729927008,2.050118077092753,0.0,1.3853229432916183,0.4042984590429846,0.1158961881589618,0.4042984590429846,0.0225466342254663,0.0,0.3449716139497161,0.0198702351987023,0.0876317923763179,0.0047850770478507,B_realistic_mixed,B: Best Realistic Thesis System,mixed,10:1
DQN,999,500,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/final_thesis_B_realistic_mixed_s999/dqn_30000_steps.zip,0.5594526000000001,0.312,0.6557813255926463,2.156195549477852,0.0,1.4820391380645217,0.4252539912917271,0.0,0.4252539912917271,0.0962747943880019,0.0002418964683115,0.2305273343009192,0.0163683276890824,0.1548137397194001,0.0765199161425576,B_realistic_mixed,B: Best Realistic Thesis System,mixed,10:1
