configuration,configuration_label,population_mode,seed,train_timesteps,eval_episodes,use_checkpoints,selection,val_learning_gain,gain_ratio,irt_beta,elapsed_seconds,imported_from,wk,we,wf,wb,wc,learning_gain,final_knowledge,success_rate,adaptation_accuracy,mean_episode_reward,dropout_rate,action_entropy,actions_used_above_1_percent,actions_used_above_5_percent,dominant_action_pct,top2_actions_pct,dominance_detected,freq_hint,freq_scaffold,freq_encouragement,freq_simplify_problem,freq_harder_problem,freq_break,freq_explanation,freq_no_action
A_stable_canonical,A: Most Stable Thesis System,single_canonical,42,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_E_full_stability_s42/dqn_20000_steps.zip,0.5633741241962036,10:1,3.0,29.2,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/figures/combined_improvement_validation/combined_results.csv,0.35,0.2,0.15,0.15,0.15,0.5766539919248576,0.7081708327447773,0.162,0.4811745384345385,1.9240722139480448,0.0,1.55470422380858,5,5,0.3163502363213971,0.591003765120564,False,0.001923,0.31635,0.00024,0.003685,0.164984,0.138148,0.274654,0.100016
A_stable_canonical,A: Most Stable Thesis System,single_canonical,7,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_E_full_stability_s7/dqn_10000_steps.zip,0.5894578976793061,10:1,3.0,29.3,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/figures/combined_improvement_validation/combined_results.csv,0.35,0.2,0.15,0.15,0.15,0.601390609482159,0.7268266966518497,0.2,0.395901306897237,2.2927988527928846,0.0,1.528733836994924,5,5,0.3388648388648388,0.6143177809844477,False,0.176848,0.275453,0.000521,0.0,0.12041,0.008498,0.338865,0.079405
A_stable_canonical,A: Most Stable Thesis System,single_canonical,13,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_E_full_stability_s13/dqn_10000_steps.zip,0.6655094619343137,10:1,3.0,29.3,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/figures/combined_improvement_validation/combined_results.csv,0.35,0.2,0.15,0.15,0.15,0.6734348530813816,0.7755346563058538,0.378,0.7003449894432288,2.2199752482607753,0.0,1.26089031753647,5,3,0.4343093545407077,0.7000040165481785,False,0.046833,0.434309,0.011487,0.000924,0.265695,0.000281,0.240431,4e-05
A_stable_canonical,A: Most Stable Thesis System,single_canonical,21,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_E_full_stability_s21/dqn_10000_steps.zip,0.6542615887137067,10:1,3.0,29.7,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/figures/combined_improvement_validation/combined_results.csv,0.35,0.2,0.15,0.15,0.15,0.6609124447082725,0.7647852335712605,0.366,0.7236410904877912,2.327513184754922,0.0,1.3051560192879703,5,4,0.4800562927221552,0.7232810615199035,False,0.034821,0.480056,0.000161,0.066546,0.243225,0.000402,0.174467,0.000322
A_stable_canonical,A: Most Stable Thesis System,single_canonical,99,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_E_full_stability_s99/dqn_50000_steps.zip,0.5643839638655617,10:1,3.0,29.6,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/figures/combined_improvement_validation/combined_results.csv,0.35,0.2,0.15,0.15,0.15,0.5538792017661158,0.691050733242213,0.176,0.6577910761620703,1.9374269486851423,0.0,1.312487461998406,6,3,0.499979970356127,0.7443416256058968,False,0.018547,0.49998,0.04038,0.0,0.157593,0.244362,0.039138,0.0
A_stable_canonical,A: Most Stable Thesis System,single_canonical,314,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_E_full_stability_s314/dqn_10000_steps.zip,0.5782974703011908,10:1,3.0,29.7,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/figures/combined_improvement_validation/combined_results.csv,0.35,0.2,0.15,0.15,0.15,0.5445973516719818,0.6867010462050162,0.142,0.4990556097560976,2.176733342471025,0.0,0.9151519122906906,4,2,0.4991396902885038,0.9434196310671842,False,0.44428,0.49914,0.0,8e-05,0.0,0.002241,0.034933,0.019327
B_realistic_mixed,B: Best Realistic Thesis System,mixed,42,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_D_reward_and_gains_s42/dqn_20000_steps.zip,0.4769460668177039,10:1,3.0,24.9,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/figures/combined_improvement_validation/combined_results.csv,0.35,0.2,0.15,0.15,0.15,0.5040489380896338,0.6563617568702184,0.228,0.5144874826209284,1.988962667365955,0.0,1.777519037265222,7,5,0.2795495676653931,0.5130102553790469,False,0.0,0.27955,0.121657,0.046451,0.233461,0.046813,0.157249,0.11482
B_realistic_mixed,B: Best Realistic Thesis System,mixed,7,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_D_reward_and_gains_s7/dqn_50000_steps.zip,0.4929056908946531,10:1,3.0,24.8,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/figures/combined_improvement_validation/combined_results.csv,0.35,0.2,0.15,0.15,0.15,0.5221200268949555,0.6729902264815798,0.27,0.4488874737695955,2.06533682368949,0.0,1.6050851994736386,6,4,0.267837718061319,0.5313242818581041,False,0.037509,0.263487,0.033762,0.004593,0.183997,0.0,0.267838,0.208815
B_realistic_mixed,B: Best Realistic Thesis System,mixed,13,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_D_reward_and_gains_s13/dqn_40000_steps.zip,0.6501276155171797,10:1,3.0,24.8,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/figures/combined_improvement_validation/combined_results.csv,0.35,0.2,0.15,0.15,0.15,0.6451847368402663,0.7571304747311574,0.458,0.9677626920698515,1.1684754687518415,0.0,0.7336802250468603,3,2,0.6680631253558936,0.973968925404702,False,0.000244,0.305906,0.024363,0.0,0.668063,0.001424,0.0,0.0
B_realistic_mixed,B: Best Realistic Thesis System,mixed,21,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_D_reward_and_gains_s21/dqn_10000_steps.zip,0.5818065469088246,10:1,3.0,24.9,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/figures/combined_improvement_validation/combined_results.csv,0.35,0.2,0.15,0.15,0.15,0.6225309664003337,0.738881548331118,0.408,0.8414394700701359,1.896429254149632,0.0,1.1300147130404323,4,4,0.4225706857328566,0.8400633734156646,False,0.051389,0.422571,0.107125,0.0,0.417493,0.0,0.001381,4.1e-05
B_realistic_mixed,B: Best Realistic Thesis System,mixed,99,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_D_reward_and_gains_s99/dqn_10000_steps.zip,0.5643618304578214,10:1,3.0,25.0,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/figures/combined_improvement_validation/combined_results.csv,0.35,0.2,0.15,0.15,0.15,0.5528046787415917,0.6921947253112488,0.302,0.6575659725248905,2.0779705773719845,0.0,1.1806444564714562,4,3,0.4499394428744449,0.7569236980218006,False,0.00327,0.206944,0.000323,0.306984,0.449939,0.0,0.0,0.032539
B_realistic_mixed,B: Best Realistic Thesis System,mixed,314,50000,500,True,checkpoint@/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/models/combined_D_reward_and_gains_s314/dqn_40000_steps.zip,0.4808481760535761,10:1,3.0,24.8,/Users/mayoy/Documents/GitHub/AI-Driven-Emotion-Recognition-for-Adaptive-Learning-/RL_Module/figures/combined_improvement_validation/combined_results.csv,0.35,0.2,0.15,0.15,0.15,0.4798009085051101,0.6409171522827326,0.2,0.3390849003794786,2.0606496622428376,0.0,1.7430400845608531,7,6,0.2891808284118757,0.4976497529227431,False,0.013499,0.133823,0.074967,0.071833,0.20417,0.004058,0.289181,0.208469
