configuration,configuration_label,seed,train_population,learning_gain_canonical,learning_gain_mixed,same_population_learning_gain,mixed_population_learning_gain,generalization_gap,canonical_transfer_gap,overfitting_signal,overfitting_rate
A_stable_canonical,A: Most Stable Thesis System,7,single_canonical,0.6014,0.5401,0.6014,0.5401,0.0613,-0.0613,True,
A_stable_canonical,A: Most Stable Thesis System,13,single_canonical,0.6734,0.6211,0.6734,0.6211,0.0524,-0.0524,True,
A_stable_canonical,A: Most Stable Thesis System,21,single_canonical,0.6609,0.6275,0.6609,0.6275,0.0334,-0.0334,True,
A_stable_canonical,A: Most Stable Thesis System,42,single_canonical,0.5767,0.5157,0.5767,0.5157,0.061,-0.061,True,
A_stable_canonical,A: Most Stable Thesis System,99,single_canonical,0.5539,0.5159,0.5539,0.5159,0.038,-0.038,True,
A_stable_canonical,A: Most Stable Thesis System,314,single_canonical,0.5446,0.5193,0.5446,0.5193,0.0253,-0.0253,True,
A_stable_canonical,A: Most Stable Thesis System,555,single_canonical,0.484,0.4347,0.484,0.4347,0.0493,-0.0493,True,
A_stable_canonical,A: Most Stable Thesis System,777,single_canonical,0.6542,0.5884,0.6542,0.5884,0.0658,-0.0658,True,
A_stable_canonical,A: Most Stable Thesis System,888,single_canonical,0.6983,0.6417,0.6983,0.6417,0.0566,-0.0566,True,
A_stable_canonical,A: Most Stable Thesis System,999,single_canonical,0.5754,0.5283,0.5754,0.5283,0.0471,-0.0471,True,
B_realistic_mixed,B: Best Realistic Thesis System,7,mixed,0.6024,0.5221,0.5221,0.5221,0.0,-0.0803,False,
B_realistic_mixed,B: Best Realistic Thesis System,13,mixed,0.6972,0.6452,0.6452,0.6452,0.0,-0.0521,False,
B_realistic_mixed,B: Best Realistic Thesis System,21,mixed,0.6482,0.6225,0.6225,0.6225,0.0,-0.0257,False,
B_realistic_mixed,B: Best Realistic Thesis System,42,mixed,0.566,0.504,0.504,0.504,0.0,-0.062,False,
B_realistic_mixed,B: Best Realistic Thesis System,99,mixed,0.6145,0.5528,0.5528,0.5528,0.0,-0.0617,False,
B_realistic_mixed,B: Best Realistic Thesis System,314,mixed,0.5565,0.4798,0.4798,0.4798,0.0,-0.0767,False,
B_realistic_mixed,B: Best Realistic Thesis System,555,mixed,0.511,0.4633,0.4633,0.4633,0.0,-0.0476,False,
B_realistic_mixed,B: Best Realistic Thesis System,777,mixed,0.5745,0.5253,0.5253,0.5253,0.0,-0.0492,False,
B_realistic_mixed,B: Best Realistic Thesis System,888,mixed,0.674,0.6097,0.6097,0.6097,0.0,-0.0643,False,
B_realistic_mixed,B: Best Realistic Thesis System,999,mixed,0.6298,0.5595,0.5595,0.5595,0.0,-0.0704,False,
