user_id,skill,correct,hint_count,attempt_count,ms_first_response,Average_confidence(FRUSTRATED),Average_confidence(CONFUSED),Average_confidence(CONCENTRATING),Average_confidence(BORED)
1001,Addition Whole Numbers,1,0,1,4200,0.05,0.10,0.80,0.05
1001,Addition Whole Numbers,1,0,1,3500,0.05,0.05,0.85,0.05
1001,Subtraction Whole Numbers,0,1,2,7800,0.30,0.50,0.60,0.10
1001,Subtraction Whole Numbers,1,1,2,6900,0.15,0.30,0.70,0.05
1001,Multiplication Whole Numbers,1,0,1,5100,0.05,0.10,0.85,0.00
1002,Addition Whole Numbers,1,0,1,3900,0.00,0.10,0.90,0.00
1002,Multiplication Whole Numbers,0,2,3,9800,0.55,0.60,0.40,0.20
1002,Multiplication Whole Numbers,1,1,2,6700,0.20,0.30,0.65,0.10
1002,Division Whole Numbers,0,2,3,11200,0.70,0.65,0.30,0.20
1002,Division Whole Numbers,1,1,2,7400,0.40,0.40,0.55,0.10
1003,Fractions Basic,0,3,3,12500,0.65,0.70,0.30,0.25
1003,Fractions Basic,0,2,3,11800,0.60,0.65,0.35,0.20
1003,Fractions Basic,1,1,2,7100,0.30,0.40,0.65,0.10
1003,Equation Solving Two or Fewer Steps,0,2,3,13200,0.55,0.70,0.40,0.10
1003,Equation Solving Two or Fewer Steps,1,1,2,8300,0.25,0.30,0.70,0.05
