Ratio,gain_id,Tutor,Learning Gain,LG_std,LG_ci_lo,LG_ci_hi,Final Knowledge,FK_std,Success Rate,Dropout,Adaptation Accuracy,Reward,Wellbeing
1:1,G0,Random,0.5238,0.0085,0.517,0.5306,0.6706,0.0057,0.2597,0.0,0.2867,2.9356,0.3762
1:1,G0,ERT,0.5293,0.0103,0.5211,0.5376,0.6747,0.0073,0.2803,0.0,0.3962,3.2921,0.4056
1:1,G0,DQN,0.4311,0.1791,0.2879,0.5744,0.6093,0.1229,0.1913,0.0,0.264,3.1754,0.4021
2:1,G1,Random,0.4465,0.0087,0.4395,0.4535,0.6185,0.0058,0.1383,0.0,0.2867,2.8252,0.3739
2:1,G1,ERT,0.4648,0.0104,0.4564,0.4732,0.6308,0.0065,0.1787,0.0,0.3834,3.199,0.4034
2:1,G1,DQN,0.543,0.1084,0.4563,0.6298,0.6852,0.0749,0.314,0.0,0.5698,3.2872,0.402
3.3:1,G2,Random,0.4159,0.0079,0.4096,0.4222,0.5974,0.0054,0.1123,0.0,0.2873,2.7571,0.3711
3.3:1,G2,ERT,0.4382,0.0122,0.4284,0.4479,0.6131,0.0081,0.1417,0.0,0.3775,3.1605,0.4025
3.3:1,G2,DQN,0.3716,0.1556,0.2471,0.4962,0.5681,0.1056,0.1173,0.0,0.3026,2.9706,0.3908
5:1,G3,Random,0.3987,0.0071,0.393,0.4044,0.5858,0.0046,0.096,0.0,0.2876,2.7353,0.3707
5:1,G3,ERT,0.4241,0.0111,0.4152,0.4329,0.6035,0.0074,0.1247,0.0,0.375,3.14,0.4021
5:1,G3,DQN,0.4923,0.1664,0.3592,0.6254,0.6511,0.1129,0.251,0.0,0.5685,3.1909,0.4017
10:1,G4,Random,0.3825,0.0085,0.3757,0.3893,0.5748,0.0055,0.0817,0.0,0.288,2.7049,0.3696
10:1,G4,ERT,0.4108,0.0112,0.4018,0.4198,0.5943,0.0073,0.1157,0.0,0.3732,3.1242,0.4018
10:1,G4,DQN,0.4362,0.1994,0.2767,0.5958,0.6123,0.1367,0.1997,0.0,0.5455,2.9853,0.3887
20:1,G5,Random,0.3741,0.0085,0.3673,0.3809,0.569,0.0056,0.075,0.0,0.2879,2.6868,0.3688
20:1,G5,ERT,0.4034,0.0098,0.3955,0.4112,0.5892,0.0065,0.1043,0.0,0.3719,3.1101,0.4013
20:1,G5,DQN,0.4955,0.2011,0.3346,0.6564,0.6524,0.1387,0.29,0.0,0.5986,2.9606,0.3835
